pfam_accession,pfam_name,num_proteins
PF07690,MFS_1,80
PF00005,ABC_tran,77
PF00528,BPD_transp_1,49
PF03466,LysR_substrate,46
PF00126,HTH_1,45
PF00072,Response_reg,37
PF02518,HATPase_c,35
PF00004,AAA,28
PF01926,MMR_HSR1,24
PF00702,Hydrolase,23
PF07992,Pyr_redox_2,23
PF13649,Methyltransf_25,23
PF00155,Aminotran_1_2,22
PF00583,Acetyltransf_1,22
PF01266,DAO,22
PF00270,DEAD,21
PF00106,adh_short,20
PF00512,HisKA,20
PF01370,Epimerase,19
PF04055,Radical_SAM,19
PF04851,ResIII,19
PF00107,ADH_zinc_N,18
PF00271,Helicase_C,18
PF13561,adh_short_C2,18
PF00486,Trans_reg_C,17
PF00672,HAMP,16
PF08240,ADH_N,16
PF00294,PfkB,15
PF05175,MTS,15
PF00009,GTP_EFTU,14
PF00171,Aldedh,14
PF00293,NUDIX,14
PF08282,Hydrolase_3,14
PF00132,Hexapep,13
PF13419,HAD_2,13
PF00440,TetR_N,12
PF01380,SIS,12
PF01381,HTH_3,12
PF00496,SBP_bac_5,11
PF00589,Phage_integrase,11
PF00892,EamA,11
PF01979,Amidohydro_1,11
PF00149,Metallophos,10
PF00501,AMP-binding,10
PF00571,CBS,10
PF00696,AA_kinase,10
PF03144,GTP_EFTU_D2,10
PF00291,PALP,9
PF00535,Glycos_transf_2,9
PF00156,Pribosyltran,8
PF00534,Glycos_transf_1,8
PF00575,S1,8
PF00581,Rhodanese,8
PF00849,PseudoU_synth_2,8
PF01479,S4,8
PF01546,Peptidase_M20,8
PF03807,F420_oxidored,8
PF04545,Sigma70_r4,8
PF09335,VTT_dom,8
PF00117,GATase,7
PF00364,Biotin_lipoyl,7
PF00483,NTP_transferase,7
PF01336,tRNA_anti-codon,7
PF01476,LysM,7
PF02463,SMC_N,7
PF02775,TPP_enzyme_C,7
PF03061,4HBT,7
PF03602,Cons_hypoth95,7
PF13193,AMP-binding_C,7
PF13439,Glyco_transf_4,7
PF00109,ketoacyl-synt,6
PF00266,Aminotran_5,6
PF00391,PEP-utilizers,6
PF00588,SpoU_methylase,6
PF00753,Lactamase_B,6
PF00905,Transpeptidase,6
PF00924,MS_channel_2nd,6
PF01207,Dus,6
PF01565,FAD_binding_4,6
PF01751,Toprim,6
PF01966,HD,6
PF02776,TPP_enzyme_N,6
PF02826,2-Hacid_dh_C,6
PF02875,Mur_ligase_C,6
PF03471,CorC_HlyC,6
PF04542,Sigma70_r2,6
PF07478,Dala_Dala_lig_C,6
PF07724,AAA_2,6
PF08245,Mur_ligase_M,6
PF00012,HSP70,5
PF00133,tRNA-synt_1,5
PF00152,tRNA-synt_2,5
PF00254,FKBP_C,5
PF00300,His_Phos_1,5
PF00580,UvrD-helicase,5
PF00664,ABC_membrane,5
PF00912,Transgly,5
PF00929,RNase_T,5
PF00999,Na_H_Exchanger,5
PF01048,PNP_UDP_1,5
PF01053,Cys_Met_Meta_PP,5
PF01118,Semialdhyde_dh,5
PF01202,SKI,5
PF01467,CTP_transf_like,5
PF02080,TrkA_C,5
PF02254,TrkA_N,5
PF02687,FtsX,5
PF02769,AIRS_C,5
PF02786,CPSase_L_D2,5
PF09334,tRNA-synt_1g,5
PF13411,MerR_1,5
PF00006,ATP-synt_ab,4
PF00085,Thioredoxin,4
PF00122,E1-E2_ATPase,4
PF00185,OTCace,4
PF00206,Lyase_1,4
PF00216,Bac_DNA_binding,4
PF00308,Bac_DnaA,4
PF00551,Formyl_trans_N,4
PF00557,Peptidase_M24,4
PF00578,AhpC-TSA,4
PF00586,AIRS,4
PF00587,tRNA-synt_2b,4
PF00701,DHDPS,4
PF00881,Nitroreductase,4
PF01168,Ala_racemase_N,4
PF01225,Mur_ligase,4
PF01553,Acyltransferase,4
PF01594,AI-2E_transport,4
PF02629,CoA_binding,4
PF02729,OTCace_N,4
PF02779,Transket_pyr,4
PF02852,Pyr_redox_dim,4
PF10431,ClpB_D2-small,4
PF12848,ABC_tran_Xtn,4
PF13180,PDZ_2,4
PF13361,UvrD_C,4
PF13365,Trypsin_2,4
PF13614,AAA_31,4
PF14520,HHH_5,4
PF00140,Sigma70_r1_2,3
PF00215,OMPdecase,3
PF00226,DnaJ,3
PF00288,GHMP_kinases_N,3
PF00383,dCMP_cyt_deam_1,3
PF00398,RrnaAD,3
PF00408,PGM_PMM_IV,3
PF00437,T2SSE,3
PF00456,Transketolase_N,3
PF00472,RF-1,3
PF00550,PP-binding,3
PF00675,Peptidase_M16,3
PF00679,EFG_C,3
PF00717,Peptidase_S24,3
PF00730,HhH-GPD,3
PF00749,tRNA-synt_1c,3
