pfam_accession,pfam_name,num_proteins
PF00013,KH_1,1
PF00035,dsrm,1
PF00091,Tubulin,1
PF00113,Enolase_C,1
PF00118,Cpn60_TCP1,1
PF00119,ATP-synt_A,1
PF00121,TIM,1
PF00137,ATP-synt_C,1
PF00154,RecA_N,1
PF00162,PGK,1
PF00163,Ribosomal_S4,1
PF00164,Ribosom_S12_S23,1
PF00166,Cpn10,1
PF00177,Ribosomal_S7,1
PF00181,Ribosomal_L2_N,1
PF00189,Ribosomal_S3_C,1
PF00203,Ribosomal_S19,1
PF00213,OSCP,1
PF00231,ATP-synt,1
PF00237,Ribosomal_L22,1
PF00238,Ribosomal_L14,1
PF00252,Ribosomal_L16,1
PF00253,Ribosomal_S14,1
PF00276,Ribosomal_L23,1
PF00281,Ribosomal_L5,1
PF00289,Biotin_carb_N,1
PF00297,Ribosomal_L3,1
PF00298,Ribosomal_L11,1
PF00306,ATP-synt_ab_C,1
PF00312,Ribosomal_S15,1
PF00318,Ribosomal_S2,1
PF00333,Ribosomal_S5,1
PF00338,Ribosomal_S10,1
PF00342,PGI,1
PF00344,SecY,1
PF00347,Ribosomal_L6,1
PF00366,Ribosomal_S17,1
PF00380,Ribosomal_S9,1
PF00406,ADK,1
PF00410,Ribosomal_S8,1
PF00416,Ribosomal_S13,1
PF00430,ATP-synt_B,1
PF00438,S-AdoMet_synt_N,1
PF00453,Ribosomal_L20,1
PF00464,SHMT,1
PF00466,Ribosomal_L10,1
PF00471,Ribosomal_L33,1
PF00476,DNA_pol_A,1
PF00533,BRCT,1
PF00542,Ribosomal_L12,1
PF00562,RNA_pol_Rpb2_6,1
PF00572,Ribosomal_L13,1
PF00573,Ribosomal_L4,1
PF00623,RNA_pol_Rpb1_2,1
PF00625,Guanylate_kin,1
PF00673,Ribosomal_L5_C,1
PF00687,Ribosomal_L1,1
PF00698,Acyl_transf_1,1
PF00707,IF3_C,1
PF00709,Adenylsucc_synt,1
PF00712,DNA_pol3_beta,1
PF00731,AIRC,1
PF00750,tRNA-synt_1d,1
PF00763,THF_DHG_CYH,1
PF00772,DnaB,1
PF00828,Ribosomal_L27A,1
PF00829,Ribosomal_L21p,1
PF00830,Ribosomal_L28,1
PF00831,Ribosomal_L29,1
PF00861,Ribosomal_L18p,1
PF00886,Ribosomal_S16,1
PF00889,EF_TS,1
PF00958,GMP_synt_C,1
PF00988,CPSase_sm_chain,1
PF01016,Ribosomal_L27,1
PF01018,GTP1_OBG,1
PF01025,GrpE,1
PF01071,GARS_A,1
PF01084,Ribosomal_S18,1
PF01113,DapB_N,1
PF01121,CoaE,1
PF01176,eIF-1a,1
PF01195,Pept_tRNA_hydro,1
PF01196,Ribosomal_L17,1
PF01245,Ribosomal_L19,1
PF01250,Ribosomal_S6,1
PF01252,Peptidase_A8,1
PF01255,Prenyltransf,1
PF01259,SAICAR_synt,1
PF01264,Chorismate_synt,1
PF01281,Ribosomal_L9_N,1
PF01327,Pep_deformylase,1
PF01330,RuvA_N,1
PF01351,RNase_HII,1
PF01368,DHH,1
PF01411,tRNA-synt_2c,1
PF01416,PseudoU_synth_1,1
PF01434,Peptidase_M41,1
PF01509,TruB_N,1
PF01580,FtsK_SpoIIIE,1
PF01632,Ribosomal_L35p,1
PF01668,SmpB,1
PF01687,Flavokinase,1
PF01715,IPPT,1
PF01725,Ham1p_like,1
PF01746,tRNA_m1G_MT,1
PF01761,DHQ_synthase,1
PF01765,RRF,1
PF01782,RimM,1
PF01783,Ribosomal_L32p,1
PF01790,LGT,1
PF01795,Methyltransf_5,1
PF01807,Zn_ribbon_DnaG,1
PF01808,AICARFT_IMPCHas,1
PF02033,RBFA,1
PF02096,60KD_IMP,1
PF02130,YbeY,1
PF02132,RecR_ZnF,1
PF02163,Peptidase_M50,1
PF02223,Thymidylate_kin,1
PF02224,Cytidylate_kin,1
PF02403,Seryl_tRNA_N,1
PF02410,RsfS,1
PF02481,DNA_processg_A,1
PF02527,GidB,1
PF02559,CarD_TRCF_RID,1
PF02565,RecO_C,1
PF02576,RimP_N,1
PF02601,Exonuc_VII_L,1
PF02699,YajC,1
PF02767,DNA_pol3_beta_2,1
PF02768,DNA_pol3_beta_3,1
PF02772,S-AdoMet_synt_M,1
PF02773,S-AdoMet_synt_C,1
PF02785,Biotin_carb_C,1
PF02787,CPSase_L_D3,1
PF02823,ATP-synt_DE_N,1
PF02843,GARS_C,1
PF02844,GARS_N,1
PF02873,MurB_C,1
PF02882,THF_DHG_CYH_C,1
PF02912,Phe_tRNA-synt_N,1
PF02978,SRP_SPB,1
PF03033,Glyco_transf_28,1
PF03118,RNA_pol_A_CTD,1
PF03147,FDX-ACB,1
PF03461,TRCF,1
PF03483,B3_4,1
PF03484,B5,1
PF03485,Arg_tRNA_synt_N,1
PF03652,RuvX,1
PF03719,Ribosomal_S5_C,1
PF03726,PNPase,1
PF03764,EFG_IV,1
PF03772,Competence,1
PF03840,SecG,1
PF03946,Ribosomal_L11_N,1
PF03947,Ribosomal_L2_C,1
PF03948,Ribosomal_L9_C,1
PF03952,Enolase_N,1
PF04101,Glyco_tran_28_C,1
PF04127,DFP,1
PF04452,Methyltrans_RNA,1
PF04560,RNA_pol_Rpb2_7,1
PF04565,RNA_pol_Rpb2_3,1
PF04983,RNA_pol_Rpb1_3,1
PF04997,RNA_pol_Rpb1_1,1
PF04998,RNA_pol_Rpb1_5,1
PF05000,RNA_pol_Rpb1_4,1
PF05173,DapB_C,1
PF05491,WHD_RuvB,1
PF05697,Trigger_N,1
PF05698,Trigger_C,1
PF06071,YchF-GTPase_C,1
PF06418,CTP_synth_N,1
PF06421,LepA_C,1
PF06574,FAD_syn,1
PF06689,zf-C4_ClpX,1
PF07479,NAD_Gly3P_dh_C,1
PF07499,RuvA_C,1
PF07516,SecA_SW,1
PF07733,DNA_pol3_alpha,1
PF08275,DNAG_N,1
PF08299,Bac_DnaA_C,1
PF08459,UvrC_RNaseH_dom,1
PF08529,NusA_N,1
PF08541,ACP_syn_III_C,1
PF08545,ACP_syn_III,1
PF09397,FtsK_gamma,1
PF10385,RNA_pol_Rpb2_45,1
PF10458,Val_tRNA-synt_C,1
PF11967,RecO_N,1
PF12002,MgsA_C,1
PF12327,FtsZ_C,1
PF12344,UvrB,1
PF12826,HHH_2,1
PF13184,KH_NusA_1st,1
