pfam_accession,pfam_name,num_proteins
PF00005,ABC_tran,77
PF02518,HATPase_c,35
PF00004,AAA,28
PF01926,MMR_HSR1,24
PF07992,Pyr_redox_2,23
PF00070,Pyr_redox,21
PF00271,Helicase_C,18
PF00009,GTP_EFTU,14
PF00571,CBS,10
PF00696,AA_kinase,10
PF03144,GTP_EFTU_D2,10
PF00575,S1,8
PF01479,S4,8
PF00117,GATase,7
PF01336,tRNA_anti-codon,7
PF00266,Aminotran_5,6
PF01751,Toprim,6
PF00133,tRNA-synt_1,5
PF00152,tRNA-synt_2,5
PF09334,tRNA-synt_1g,5
PF00006,ATP-synt_ab,4
PF00557,Peptidase_M24,4
PF00587,tRNA-synt_2b,4
PF00398,RrnaAD,3
PF00679,EFG_C,3
PF00749,tRNA-synt_1c,3
PF01026,TatD_DNase,3
PF01300,Sua5_yciO_yrdC,3
PF01406,tRNA-synt_1e,3
PF01409,tRNA-synt_2d,3
PF01588,tRNA_bind,3
PF02811,PHP,3
PF03129,HGTP_anticodon,3
PF08264,Anticodon_1,3
PF11987,IF-2,3
PF00448,SRP54,2
PF00579,tRNA-synt_1b,2
PF00814,TsaD,2
PF01131,Topoisom_bac,2
PF01171,ATP_bind_3,2
PF02272,DHHA1,2
PF02874,ATP-synt_ab_N,2
PF02881,SRP54_N,2
PF03143,GTP_EFTU_D3,2
PF05746,DALR_1,2
PF07650,KH_2,2
PF07973,tRNA_SAD,2
PF13662,Toprim_4,2
