protein,num_pfams,pfam_accession,pfam_name
NP_414567.1,4,PF00133,tRNA-synt_1
NP_414567.1,4,PF01406,tRNA-synt_1e
NP_414567.1,4,PF08264,Anticodon_1
NP_414567.1,4,PF09334,tRNA-synt_1g
NP_414585.1,2,PF00070,Pyr_redox
NP_414585.1,2,PF07992,Pyr_redox_2
NP_414658.1,2,PF00070,Pyr_redox
NP_414658.1,2,PF07992,Pyr_redox_2
NP_414726.1,2,PF01336,tRNA_anti-codon
NP_414726.1,2,PF02811,PHP
NP_414736.1,2,PF00587,tRNA-synt_2b
NP_414736.1,2,PF03129,HGTP_anticodon
NP_414838.2,2,PF00070,Pyr_redox
NP_414838.2,2,PF07992,Pyr_redox_2
NP_415005.1,2,PF01751,Toprim
NP_415005.1,2,PF13662,Toprim_4
NP_415023.1,2,PF00004,AAA
NP_415023.1,2,PF00005,ABC_tran
NP_415059.1,3,PF00133,tRNA-synt_1
NP_415059.1,3,PF01406,tRNA-synt_1e
NP_415059.1,3,PF09334,tRNA-synt_1g
NP_415139.2,2,PF00070,Pyr_redox
NP_415139.2,2,PF07992,Pyr_redox_2
NP_415175.1,3,PF00133,tRNA-synt_1
NP_415175.1,3,PF08264,Anticodon_1
NP_415175.1,3,PF09334,tRNA-synt_1g
NP_415281.1,2,PF00004,AAA
NP_415281.1,2,PF00005,ABC_tran
NP_415315.4,2,PF00004,AAA
NP_415315.4,2,PF00005,ABC_tran
NP_415341.1,2,PF00005,ABC_tran
NP_415341.1,2,PF01926,MMR_HSR1
NP_415408.1,2,PF00070,Pyr_redox
NP_415408.1,2,PF07992,Pyr_redox_2
NP_415450.1,2,PF00152,tRNA-synt_2
NP_415450.1,2,PF01336,tRNA_anti-codon
NP_415469.1,3,PF00004,AAA
NP_415469.1,3,PF00005,ABC_tran
NP_415469.1,3,PF01926,MMR_HSR1
NP_415627.1,2,PF00070,Pyr_redox
NP_415627.1,2,PF07992,Pyr_redox_2
NP_415707.1,2,PF00070,Pyr_redox
NP_415707.1,2,PF07992,Pyr_redox_2
NP_415790.1,2,PF01131,Topoisom_bac
NP_415790.1,2,PF01751,Toprim
NP_416154.1,2,PF00579,tRNA-synt_1b
NP_416154.1,2,PF01479,S4
NP_416214.1,2,PF00070,Pyr_redox
NP_416214.1,2,PF07992,Pyr_redox_2
NP_416228.1,2,PF01588,tRNA_bind
NP_416228.1,2,PF03484,B5
NP_416234.1,3,PF00587,tRNA-synt_2b
NP_416234.1,3,PF03129,HGTP_anticodon
NP_416234.1,3,PF07973,tRNA_SAD
NP_416277.1,2,PF01131,Topoisom_bac
NP_416277.1,2,PF01751,Toprim
NP_416380.1,2,PF00152,tRNA-synt_2
NP_416380.1,2,PF01336,tRNA_anti-codon
NP_416390.1,2,PF00750,tRNA-synt_1d
NP_416390.1,2,PF05746,DALR_1
NP_416617.1,4,PF00133,tRNA-synt_1
NP_416617.1,4,PF01406,tRNA-synt_1e
NP_416617.1,4,PF01588,tRNA_bind
NP_416617.1,4,PF09334,tRNA-synt_1g
NP_416633.1,2,PF00005,ABC_tran
NP_416633.1,2,PF00571,CBS
NP_416651.1,2,PF00070,Pyr_redox
NP_416651.1,2,PF07992,Pyr_redox_2
NP_416963.1,2,PF00070,Pyr_redox
NP_416963.1,2,PF07992,Pyr_redox_2
NP_417006.2,2,PF00009,GTP_EFTU
NP_417006.2,2,PF01926,MMR_HSR1
NP_417009.1,3,PF00587,tRNA-synt_2b
NP_417009.1,3,PF03129,HGTP_anticodon
