protein,num_pfams,pfam_accession,pfam_name
NP_414543.1,6,PF00696,AA_kinase
NP_414543.1,6,PF00742,Homoserine_dh
NP_414543.1,6,PF01842,ACT
NP_414543.1,6,PF03447,NAD_binding_3
NP_414543.1,6,PF13840,ACT_7
NP_414543.1,6,PF22468,ACT_9
NP_414544.1,2,PF00288,GHMP_kinases_N
NP_414544.1,2,PF08544,GHMP_kinases_C
NP_414545.1,3,PF00291,PALP
NP_414545.1,3,PF14821,Thr_synth_N
NP_414545.1,3,PF24857,THR4_C
NP_414552.1,2,PF03981,Ubiq_cyt_C_chap
NP_414552.1,2,PF13099,DUF3944
NP_414555.1,2,PF00012,HSP70
NP_414555.1,2,PF06723,MreB_Mbl
NP_414556.1,4,PF00226,DnaJ
NP_414556.1,4,PF00684,DnaJ_CXXCXGXG
NP_414556.1,4,PF01556,DnaJ_C
NP_414556.1,4,PF27439,DnaJ_C_2
NP_414561.1,2,PF00126,HTH_1
NP_414561.1,2,PF03466,LysR_substrate
NP_414563.1,2,PF03811,Zn_ribbon_InsA
NP_414563.1,2,PF12759,HTH_Tnp_IS1
NP_414566.1,3,PF01467,CTP_transf_like
NP_414566.1,3,PF01687,Flavokinase
NP_414566.1,3,PF06574,FAD_syn
NP_414567.1,7,PF00133,tRNA-synt_1
NP_414567.1,7,PF01406,tRNA-synt_1e
NP_414567.1,7,PF01921,tRNA-synt_1f
NP_414567.1,7,PF06827,zf-FPG_IleRS
NP_414567.1,7,PF08264,Anticodon_1
NP_414567.1,7,PF09334,tRNA-synt_1g
NP_414567.1,7,PF13603,tRNA-synt_1_2
NP_414572.1,2,PF01113,DapB_N
NP_414572.1,2,PF05173,DapB_C
NP_414573.1,3,PF00117,GATase
NP_414573.1,3,PF00988,CPSase_sm_chain
NP_414573.1,3,PF07722,Peptidase_C26
NP_414574.1,10,PF02142,MGS
NP_414574.1,10,PF02222,ATP-grasp
NP_414574.1,10,PF02655,ATP-grasp_3
NP_414574.1,10,PF02786,CPSase_L_D2
NP_414574.1,10,PF02787,CPSase_L_D3
NP_414574.1,10,PF07478,Dala_Dala_lig_C
NP_414574.1,10,PF13380,CoA_binding_2
NP_414574.1,10,PF13535,ATP-grasp_4
NP_414574.1,10,PF15632,ATPgrasp_Ter
NP_414574.1,10,PF25596,CPSase_L_D1
NP_414577.2,2,PF00132,Hexapep
NP_414577.2,2,PF25087,GMPPB_C
NP_414578.2,2,PF00378,ECH_1
NP_414578.2,2,PF16113,ECH_2
NP_414579.4,2,PF00501,AMP-binding
NP_414579.4,2,PF13193,AMP-binding_C
NP_414581.1,4,PF00441,Acyl-CoA_dh_1
NP_414581.1,4,PF02770,Acyl-CoA_dh_M
NP_414581.1,4,PF02771,Acyl-CoA_dh_N
NP_414581.1,4,PF08028,Acyl-CoA_dh_2
NP_414584.1,2,PF00766,ETF_alpha
NP_414584.1,2,PF01012,ETF
NP_414585.1,12,PF00070,Pyr_redox
NP_414585.1,12,PF00890,FAD_binding_2
NP_414585.1,12,PF01134,GIDA
NP_414585.1,12,PF01266,DAO
NP_414585.1,12,PF01494,FAD_binding_3
NP_414585.1,12,PF01946,Thi4
NP_414585.1,12,PF04820,Trp_halogenase
NP_414585.1,12,PF07992,Pyr_redox_2
NP_414585.1,12,PF12831,FAD_oxidored
NP_414585.1,12,PF13450,NAD_binding_8
NP_414585.1,12,PF21162,ETFQO_UQ-bd
NP_414585.1,12,PF26311,ETF-QO_FixC_C
NP_414587.1,2,PF00083,Sugar_tr
NP_414587.1,2,PF07690,MFS_1
NP_414588.1,2,PF02525,Flavodoxin_2
NP_414588.1,2,PF03358,FMN_red
NP_414589.1,3,PF00999,Na_H_Exchanger
NP_414589.1,3,PF02254,TrkA_N
NP_414589.1,3,PF27452,KefB_C
NP_414595.1,6,PF00639,Rotamase
NP_414595.1,6,PF09312,SurA_N
NP_414595.1,6,PF13145,Rotamase_2
NP_414595.1,6,PF13616,Rotamase_3
NP_414595.1,6,PF13623,SurA_N_2
NP_414595.1,6,PF13624,SurA_N_3
NP_414596.1,2,PF03968,LptD_N
NP_414596.1,2,PF04453,LptD
NP_414597.1,3,PF00226,DnaJ
NP_414597.1,3,PF05099,TerB
NP_414597.1,3,PF27507,DjlA_TM
NP_414601.1,7,PF00176,SNF2-rel_dom
NP_414601.1,7,PF00270,DEAD
NP_414601.1,7,PF00271,Helicase_C
NP_414601.1,7,PF04851,ResIII
NP_414601.1,7,PF12137,RapA_C
NP_414601.1,7,PF18337,Tudor_RapA
NP_414601.1,7,PF18339,Tudor_1_RapA
NP_414602.1,4,PF00136,DNA_pol_B
NP_414602.1,4,PF03104,DNA_pol_B_exo1
NP_414602.1,4,PF21474,DNApolII_N
NP_414602.1,4,PF22587,DNApolII_insertion
NP_414604.1,3,PF02610,AraA_N
NP_414604.1,3,PF11762,Arabinose_Iso_C
NP_414604.1,3,PF24856,AraA_central
NP_414605.1,2,PF00370,FGGY_N
NP_414605.1,2,PF02782,FGGY_C
NP_414606.1,3,PF00165,HTH_AraC
NP_414606.1,3,PF02311,AraC_binding
NP_414606.1,3,PF12833,HTH_18
NP_414608.1,2,PF00005,ABC_tran
NP_414608.1,2,PF13304,AAA_21
NP_414610.1,3,PF01547,SBP_bac_1
NP_414610.1,3,PF13343,SBP_bac_6
NP_414610.1,3,PF13531,SBP_bac_11
NP_414611.1,2,PF00496,SBP_bac_5
NP_414611.1,2,PF12793,SgrR_N
NP_414613.1,3,PF00694,Aconitase_C
NP_414613.1,3,PF27434,LeuD_C
NP_414613.1,3,PF27512,LeuD
NP_414616.1,3,PF00682,HMGL-like
NP_414616.1,3,PF08502,LeuA_dimer
NP_414616.1,3,PF22617,HCS_D2
NP_414618.4,2,PF00126,HTH_1
NP_414618.4,2,PF03466,LysR_substrate
NP_414620.1,4,PF01842,ACT
NP_414620.1,4,PF10369,ALS_ss_C
NP_414620.1,4,PF13710,ACT_5
NP_414620.1,4,PF22629,ACT_AHAS_ss
NP_414622.1,4,PF00356,LacI
NP_414622.1,4,PF00532,Peripla_BP_1
NP_414622.1,4,PF13377,Peripla_BP_3
NP_414622.1,4,PF13407,Peripla_BP_4
NP_414626.1,2,PF00905,Transpeptidase
NP_414626.1,2,PF03717,PBP_dimer
NP_414627.1,3,PF01225,Mur_ligase
NP_414627.1,3,PF02875,Mur_ligase_C
NP_414627.1,3,PF08245,Mur_ligase_M
NP_414628.1,3,PF01225,Mur_ligase
NP_414628.1,3,PF02875,Mur_ligase_C
NP_414628.1,3,PF08245,Mur_ligase_M
NP_414629.1,2,PF00953,Glycos_transf_4
NP_414629.1,2,PF10555,MraY_sig1
NP_414630.1,3,PF02875,Mur_ligase_C
NP_414630.1,3,PF08245,Mur_ligase_M
NP_414630.1,3,PF21799,MurD-like_N
NP_414632.1,4,PF03033,Glyco_transf_28
NP_414632.1,4,PF04101,Glyco_tran_28_C
NP_414632.1,4,PF13439,Glyco_transf_4
NP_414632.1,4,PF13692,Glyco_trans_1_4
NP_414633.1,3,PF01225,Mur_ligase
NP_414633.1,3,PF02875,Mur_ligase_C
NP_414633.1,3,PF08245,Mur_ligase_M
NP_414634.1,4,PF01820,Dala_Dala_lig_N
NP_414634.1,4,PF02786,CPSase_L_D2
NP_414634.1,4,PF07478,Dala_Dala_lig_C
NP_414634.1,4,PF13535,ATP-grasp_4
NP_414635.1,2,PF03799,FtsQ_DivIB_C
NP_414635.1,2,PF08478,POTRA_1
NP_414636.1,4,PF02491,SHS2_FTSA
NP_414636.1,4,PF06723,MreB_Mbl
NP_414636.1,4,PF11104,PilM_2
NP_414636.1,4,PF14450,FtsA
NP_414637.1,2,PF00091,Tubulin
NP_414637.1,2,PF12327,FtsZ_C
NP_414640.1,6,PF00270,DEAD
NP_414640.1,6,PF01043,SecA_PP_bind
NP_414640.1,6,PF02810,SEC-C
NP_414640.1,6,PF07516,SecA_SW
NP_414640.1,6,PF07517,SecA_DEAD
NP_414640.1,6,PF21090,P-loop_SecA
