pfam_accession,pfam_name,num_proteins
PF05598,DUF772,12
PF02698,DUF218,4
PF04074,DUF386,4
PF20148,DUF6531,4
PF05656,DUF805,3
PF05957,DUF883,3
PF06174,DUF987,3
PF06889,DUF1266,3
PF07166,DUF1398,3
PF19029,DUF883_C,3
PF02656,DUF202,2
PF03891,DUF333,2
PF04175,DUF406,2
PF04338,DUF481,2
PF05974,DUF892,2
PF06004,DUF903,2
PF06067,DUF932,2
PF06097,DUF945,2
PF06496,DUF1097,2
PF06551,DUF1120,2
PF06693,DUF1190,2
PF07119,DUF1375,2
PF07151,DUF1391,2
PF07358,DUF1482,2
PF07869,DUF1656,2
PF10697,DUF2502,2
PF10840,DUF2645,2
PF10887,DUF2686,2
PF11742,DUF3302,2
PF12883,DUF3828,2
PF13132,DUF3950,2
PF13148,DUF3987,2
PF14220,DUF4329,2
PF01784,DUF34_NIF3,1
PF01904,DUF72,1
PF01935,DUF87,1
PF02594,DUF167,1
PF02622,DUF179,1
PF02639,DUF188,1
PF03445,DUF294,1
PF03729,DUF308,1
PF03994,DUF350,1
PF04217,DUF412,1
PF04219,DUF413,1
PF04222,DUF416,1
PF04224,DUF417,1
PF04235,DUF418,1
PF04239,DUF421,1
PF04241,DUF423,1
PF04269,DUF440,1
PF04284,DUF441,1
PF04285,DUF444,1
PF04286,DUF445,1
PF04287,DUF446,1
PF04304,DUF454,1
PF04317,DUF463,1
PF04325,DUF465,1
PF04337,DUF480,1
PF04340,DUF484,1
PF04341,DUF485,1
PF04343,DUF488,1
PF04356,DUF489,1
PF04359,DUF493,1
PF04361,DUF494,1
PF04363,DUF496,1
PF04379,DUF525,1
PF04391,DUF533,1
PF04393,DUF535,1
PF04448,DUF551,1
PF04474,DUF554,1
PF04480,DUF559,1
PF05057,DUF676,1
PF05128,DUF697,1
PF05661,DUF808,1
PF05987,DUF898,1
PF06006,DUF905,1
PF06147,DUF968,1
PF06173,DUF986,1
PF06196,DUF997,1
PF06288,DUF1040,1
PF06476,DUF1090,1
PF06526,DUF1107,1
PF06572,DUF1131,1
PF06611,DUF1145,1
PF06627,DUF1153,1
PF06643,DUF1158,1
PF06649,DUF1161,1
PF06672,DUF1175,1
PF06674,DUF1176,1
PF06688,DUF1187,1
PF06711,DUF1198,1
PF06717,DUF1202,1
PF06806,DUF1233,1
PF06853,DUF1249,1
PF06932,DUF1283,1
PF06940,DUF1287,1
PF06945,DUF1289,1
PF06998,DUF1307,1
PF07023,DUF1315,1
PF07027,DUF1318,1
PF07041,DUF1327,1
PF07043,DUF1328,1
PF07081,DUF1349,1
PF07120,DUF1376,1
PF07208,DUF1414,1
PF07214,DUF1418,1
PF07226,DUF1422,1
PF07233,DUF1425,1
PF07237,DUF1428,1
PF07256,DUF1435,1
PF07273,DUF1439,1
PF07274,DUF1440,1
PF07295,DUF1451,1
PF07305,DUF1454,1
PF07308,DUF1456,1
PF07351,DUF1480,1
PF07356,DUF1481,1
PF07369,DUF1488,1
PF07383,DUF1496,1
PF07411,DUF1508,1
PF07755,DUF1611,1
PF07759,DUF1615,1
PF07789,DUF1627,1
PF08331,QueG_DUF1730,1
PF08338,DUF1731,1
PF08349,DUF1722,1
PF08956,DUF1869,1
PF08974,DUF1877,1
PF08986,DUF1889,1
PF09186,DUF1949,1
PF09400,DUF2002,1
PF09526,DUF2387,1
PF09829,DUF2057,1
PF09831,DUF2058,1
PF09838,DUF2065,1
PF09906,DUF2135,1
PF09909,DUF2138,1
PF09926,DUF2158,1
PF09938,DUF2170,1
PF09972,DUF2207,1
PF09997,DUF2238,1
PF10043,DUF2279,1
PF10062,DUF2300,1
PF10065,DUF2303,1
PF10077,DUF2314,1
PF10678,DUF2492,1
PF10679,DUF2491,1
PF10689,DUF2496,1
PF10692,DUF2498,1
PF10694,DUF2500,1
PF10696,DUF2501,1
PF10709,DUF2511,1
PF10713,DUF2509,1
PF10721,DUF2514,1
PF10725,DUF2517,1
PF10733,DUF2525,1
PF10735,DUF2526,1
PF10736,DUF2527,1
PF10749,DUF2534,1
PF10754,DUF2569,1
PF10762,DUF2583,1
PF10769,DUF2594,1
PF10807,DUF2541,1
PF10808,DUF2542,1
PF10810,DUF2545,1
PF10820,DUF2543,1
PF10829,DUF2554,1
PF10831,DUF2556,1
PF10836,DUF2574,1
PF10897,DUF2713,1
PF10928,DUF2810,1
PF10941,DUF2620,1
PF10947,DUF2628,1
PF10951,DUF2776,1
PF10953,DUF2754,1
PF10954,DUF2755,1
PF10956,DUF2756,1
PF10964,DUF2766,1
PF10965,DUF2767,1
PF10968,DUF2770,1
PF10971,DUF2773,1
PF10973,DUF2799,1
PF11066,DUF2867,1
PF11101,DUF2884,1
PF11115,DUF2623,1
PF11119,DUF2633,1
PF11143,DUF2919,1
PF11245,DUF2544,1
PF11254,DUF3053,1
PF11398,DUF2813,1
PF11622,DUF3251,1
PF11656,DUF3811,1
PF11737,DUF3300,1
PF11769,DUF3313,1
PF11818,DUF3340,1
PF11842,DUF3362,1
PF11862,DUF3382,1
PF11890,DUF3410,1
PF11893,DUF3413,1
PF11898,DUF3418,1
PF11922,DUF3440,1
PF11940,DUF3458,1
PF11944,DUF3461,1
PF12084,DUF3561,1
PF12158,DUF3592,1
PF12345,DUF3641,1
PF12392,DUF3656,1
PF12404,DUF3663,1
PF12481,DUF3700,1
PF12566,DUF3748,1
PF12684,DUF3799,1
PF12889,DUF3829,1
PF13099,DUF3944,1
PF13258,DUF4049,1
PF13322,DUF4092,1
PF13438,DUF4113,1
PF13493,DUF4118,1
PF13569,DUF4132,1
PF13687,DUF4153,1
PF13689,DUF4154,1
PF13698,DUF4156,1
PF13811,DUF4186,1
PF13978,DUF4223,1
PF14488,DUF4434,1
PF14793,DUF4478,1
PF16220,DUF4880,1
PF16231,DUF4890,1
PF16819,DUF5074,1
PF17128,DUF5107,1
PF17263,DUF5329,1
PF17358,DUF5384,1
PF17384,DUF150_C,1
PF17432,DUF3458_C,1
PF17520,DUF5445,1
PF17612,DUF5507,1
PF17621,DUF5508,1
PF17761,DUF1016_N,1
PF18429,DUF5609,1
PF18934,DUF5682,1
PF19805,DUF6288,1
PF19890,DUF6363,1
PF20990,DUF2207_C,1
PF22751,DUF488-N3a,1
PF22752,DUF488-N3i,1
PF22895,DUF7024,1
PF23442,DUF7125,1
PF25638,DUF5983_N,1
