protein,num_pfams,pfam_accession,pfam_name
NP_414543.1,1,PF00696,AA_kinase
NP_414573.1,1,PF00117,GATase
NP_414593.1,1,PF00398,RrnaAD
NP_414601.1,1,PF00271,Helicase_C
NP_414608.1,1,PF00005,ABC_tran
NP_414669.1,1,PF00005,ABC_tran
NP_414686.3,1,PF00749,tRNA-synt_1c
NP_414690.4,1,PF00271,Helicase_C
NP_414693.1,1,PF00005,ABC_tran
NP_414710.1,1,PF00557,Peptidase_M24
NP_414711.1,1,PF00318,Ribosomal_S2
NP_414713.1,1,PF00696,AA_kinase
NP_414730.1,1,PF01171,ATP_bind_3
NP_414741.1,1,PF00005,ABC_tran
NP_414777.1,1,PF00696,AA_kinase
NP_414787.4,1,PF01926,MMR_HSR1
NP_414796.2,1,PF00005,ABC_tran
NP_414857.1,1,PF00696,AA_kinase
NP_414881.1,1,PF00070,Pyr_redox
NP_414900.1,1,PF00005,ABC_tran
NP_414922.1,1,PF00004,AAA
NP_414934.1,1,PF02518,HATPase_c
NP_414972.1,1,PF00004,AAA
NP_414973.1,1,PF00004,AAA
NP_414982.1,1,PF00005,ABC_tran
NP_414983.1,1,PF00005,ABC_tran
NP_415003.1,1,PF00004,AAA
NP_415006.1,1,PF02518,HATPase_c
NP_415028.1,1,PF00005,ABC_tran
NP_415054.1,1,PF00696,AA_kinase
NP_415102.1,1,PF02518,HATPase_c
NP_415120.1,1,PF00005,ABC_tran
NP_415152.1,1,PF02518,HATPase_c
NP_415185.1,1,PF00005,ABC_tran
NP_415191.1,1,PF00571,CBS
NP_415206.1,1,PF00749,tRNA-synt_1c
NP_415223.1,1,PF02518,HATPase_c
NP_415286.1,1,PF00005,ABC_tran
NP_415300.1,1,PF00271,Helicase_C
NP_415318.1,1,PF00271,Helicase_C
NP_415330.1,1,PF00005,ABC_tran
NP_415350.2,1,PF00005,ABC_tran
NP_415376.4,1,PF00005,ABC_tran
NP_415385.1,1,PF00005,ABC_tran
NP_415400.1,1,PF00005,ABC_tran
NP_415403.1,1,PF00004,AAA
NP_415404.1,1,PF01176,eIF-1a
NP_415406.1,1,PF00005,ABC_tran
NP_415407.1,1,PF00005,ABC_tran
NP_415412.1,1,PF00004,AAA
NP_415413.1,1,PF00587,tRNA-synt_2b
NP_415427.1,1,PF00266,Aminotran_5
NP_415431.1,1,PF00575,S1
NP_415434.1,1,PF00005,ABC_tran
NP_415453.1,1,PF00005,ABC_tran
NP_415513.2,1,PF02518,HATPase_c
NP_415552.1,1,PF02811,PHP
NP_415602.1,1,PF00575,S1
NP_415604.1,1,PF01479,S4
NP_415618.1,1,PF01026,TatD_DNase
NP_415632.1,1,PF00271,Helicase_C
NP_415635.4,1,PF00005,ABC_tran
NP_415644.1,1,PF00005,ABC_tran
NP_415647.1,1,PF02518,HATPase_c
NP_415721.1,1,PF01926,MMR_HSR1
NP_415740.1,1,PF02518,HATPase_c
NP_415763.1,1,PF00005,ABC_tran
NP_415779.1,1,PF00117,GATase
NP_415782.1,1,PF02811,PHP
NP_415783.6,1,PF01300,Sua5_yciO_yrdC
NP_415785.1,1,PF01479,S4
NP_415802.1,1,PF00575,S1
NP_415806.1,1,PF00005,ABC_tran
NP_415807.1,1,PF00005,ABC_tran
NP_415814.4,1,PF00117,GATase
NP_415839.1,1,PF00004,AAA
NP_415859.1,1,PF00271,Helicase_C
NP_415860.1,1,PF01171,ATP_bind_3
NP_415931.4,1,PF00271,Helicase_C
NP_415958.1,1,PF00005,ABC_tran
NP_416000.1,1,PF00005,ABC_tran
NP_416001.1,1,PF00005,ABC_tran
NP_416013.1,1,PF00005,ABC_tran
NP_416030.1,1,PF00005,ABC_tran
NP_416126.1,1,PF02518,HATPase_c
NP_416170.1,1,PF00271,Helicase_C
NP_416195.1,1,PF00266,Aminotran_5
NP_416197.1,1,PF00005,ABC_tran
NP_416224.1,1,PF00005,ABC_tran
NP_416229.1,1,PF01409,tRNA-synt_2d
NP_416270.1,1,PF00005,ABC_tran
NP_416321.1,1,PF00814,TsaD
NP_416330.1,1,PF00571,CBS
NP_416372.1,1,PF00005,ABC_tran
NP_416374.1,1,PF00004,AAA
NP_416402.2,1,PF02518,HATPase_c
NP_416413.1,1,PF00005,ABC_tran
NP_416427.1,1,PF00005,ABC_tran
NP_416451.1,1,PF00006,ATP-synt_ab
NP_416477.1,1,PF02518,HATPase_c
NP_416527.1,1,PF00117,GATase
NP_416540.1,1,PF00070,Pyr_redox
NP_416567.4,1,PF00571,CBS
NP_416582.1,1,PF02518,HATPase_c
NP_416630.1,1,PF02518,HATPase_c
NP_416654.1,1,PF00005,ABC_tran
NP_416685.1,1,PF00005,ABC_tran
NP_416688.1,1,PF01479,S4
NP_416689.1,1,PF00271,Helicase_C
NP_416705.2,1,PF00005,ABC_tran
NP_416715.1,1,PF00005,ABC_tran
NP_416720.1,1,PF02518,HATPase_c
NP_416722.2,1,PF02518,HATPase_c
NP_416723.1,1,PF02518,HATPase_c
NP_416724.1,1,PF00004,AAA
NP_416756.6,1,PF00266,Aminotran_5
NP_416809.1,1,PF00005,ABC_tran
NP_416871.1,1,PF02518,HATPase_c
NP_416881.1,1,PF02518,HATPase_c
NP_416886.1,1,PF00557,Peptidase_M24
NP_416899.1,1,PF00749,tRNA-synt_1c
NP_416917.1,1,PF00005,ABC_tran
NP_416956.1,1,PF01926,MMR_HSR1
NP_416964.1,1,PF02518,HATPase_c
NP_416986.4,1,PF00004,AAA
NP_417002.1,1,PF00117,GATase
NP_417003.1,1,PF00571,CBS
NP_417004.1,1,PF01336,tRNA_anti-codon
NP_417042.1,1,PF00005,ABC_tran
NP_417051.2,1,PF02518,HATPase_c
NP_417069.1,1,PF07992,Pyr_redox_2
NP_417071.1,1,PF00271,Helicase_C
NP_417083.1,1,PF00004,AAA
NP_417085.1,1,PF01479,S4
NP_417116.1,1,PF00271,Helicase_C
NP_417188.4,1,PF00571,CBS
NP_417189.2,1,PF00004,AAA
NP_417192.1,1,PF01300,Sua5_yciO_yrdC
NP_417211.1,1,PF00004,AAA
NP_417223.1,1,PF00398,RrnaAD
NP_417241.1,1,PF00271,Helicase_C
NP_417246.4,1,PF07992,Pyr_redox_2
NP_417260.1,1,PF00117,GATase
NP_417265.1,1,PF00398,RrnaAD
NP_417266.1,1,PF02518,HATPase_c
NP_417290.1,1,PF00266,Aminotran_5
NP_417295.1,1,PF00696,AA_kinase
NP_417350.1,1,PF00696,AA_kinase
NP_417368.1,1,PF02272,DHHA1
NP_417384.1,1,PF00557,Peptidase_M24
NP_417498.1,1,PF02518,HATPase_c
NP_417536.1,1,PF00814,TsaD
NP_417545.1,1,PF01588,tRNA_bind
NP_417631.2,1,PF00271,Helicase_C
NP_417633.4,1,PF00575,S1
NP_417634.1,1,PF00312,Ribosomal_S15
NP_417638.1,1,PF00575,S1
NP_417645.1,1,PF00004,AAA
NP_417650.1,1,PF01926,MMR_HSR1
NP_417662.1,1,PF00005,ABC_tran
NP_417664.1,1,PF00571,CBS
NP_417668.1,1,PF00005,ABC_tran
NP_417697.1,1,PF00380,Ribosomal_S9
NP_417698.1,1,PF00572,Ribosomal_L13
NP_417713.2,1,PF00575,S1
NP_417737.1,1,PF00005,ABC_tran
NP_417741.1,1,PF01300,Sua5_yciO_yrdC
NP_417755.1,1,PF01479,S4
NP_417756.1,1,PF00411,Ribosomal_S11
NP_417757.1,1,PF00416,Ribosomal_S13
NP_417759.1,1,PF00344,SecY
NP_417760.1,1,PF00828,Ribosomal_L27A
NP_417763.1,1,PF00861,Ribosomal_L18p
NP_417764.1,1,PF00347,Ribosomal_L6
NP_417765.1,1,PF00410,Ribosomal_S8
NP_417766.1,1,PF00253,Ribosomal_S14
NP_417769.1,1,PF00238,Ribosomal_L14
NP_417770.1,1,PF00366,Ribosomal_S17
NP_417771.1,1,PF00831,Ribosomal_L29
NP_417772.1,1,PF00252,Ribosomal_L16
NP_417774.1,1,PF00237,Ribosomal_L22
NP_417775.1,1,PF00203,Ribosomal_S19
NP_417777.1,1,PF00276,Ribosomal_L23
NP_417778.1,1,PF00573,Ribosomal_L4
NP_417779.1,1,PF00297,Ribosomal_L3
