protein,pfam_name,pfam_accession,full_seq_evalue,full_seq_score,full_seq_bias,best_domain_evalue,best_domain_score,best_domain_bias
NP_414543.1,AA_kinase,PF00696,2.3e-48,157.6,1.2,4e-48,156.8,0.1
NP_414567.1,tRNA-synt_1,PF00133,2.8e-164,539.4,0.0,3.4e-164,539.1,0.0
NP_414567.1,Anticodon_1,PF08264,1.1e-31,102.4,0.0,2.1e-31,101.5,0.0
NP_414567.1,tRNA-synt_1g,PF09334,8.9e-22,70.0,0.1,1.1e-12,40.1,0.0
NP_414567.1,tRNA-synt_1e,PF01406,3.6e-11,35.6,0.0,8e-09,27.9,0.0
NP_414573.1,GATase,PF00117,1.2e-60,197.2,0.0,2.3e-60,196.2,0.0
NP_414585.1,Pyr_redox_2,PF07992,3.6e-11,35.6,5.9,1.1e-06,20.9,1.3
NP_414585.1,Pyr_redox,PF00070,2.5e-08,27.1,1.7,3.4e-05,17.1,0.8
NP_414593.1,RrnaAD,PF00398,3.1e-100,327.3,0.0,3.5e-100,327.1,0.0
NP_414601.1,Helicase_C,PF00271,1.7e-24,79.0,0.0,4.1e-22,71.3,0.0
NP_414608.1,ABC_tran,PF00005,2.2e-41,134.4,0.0,3.7e-41,133.6,0.0
NP_414658.1,Pyr_redox_2,PF07992,6e-69,225.3,4.2,8.6e-69,224.8,4.2
NP_414658.1,Pyr_redox,PF00070,5e-22,71.0,5.3,3.2e-19,62.0,1.0
NP_414669.1,ABC_tran,PF00005,1.1e-35,115.9,0.0,2e-35,115.1,0.0
NP_414686.3,tRNA-synt_1c,PF00749,9.1e-51,165.2,0.0,8.5e-50,162.0,0.0
NP_414690.4,Helicase_C,PF00271,5.4e-12,38.7,0.0,9.8e-12,37.9,0.0
NP_414693.1,ABC_tran,PF00005,2e-37,121.6,0.0,2.5e-37,121.2,0.0
NP_414710.1,Peptidase_M24,PF00557,1.3e-56,184.3,0.3,1.5e-56,184.1,0.3
NP_414711.1,Ribosomal_S2,PF00318,2.7e-99,323.4,0.0,3e-99,323.3,0.0
NP_414713.1,AA_kinase,PF00696,1.5e-36,118.9,0.4,1.7e-36,118.8,0.4
NP_414726.1,PHP,PF02811,3.3e-45,147.0,0.0,1.6e-44,144.8,0.0
NP_414726.1,tRNA_anti-codon,PF01336,8.9e-14,44.0,0.1,1.9e-13,42.9,0.1
NP_414730.1,ATP_bind_3,PF01171,3.8e-66,215.0,0.0,5e-66,214.6,0.0
NP_414736.1,tRNA-synt_2b,PF00587,1.9e-39,128.3,0.0,2.8e-39,127.7,0.0
NP_414736.1,HGTP_anticodon,PF03129,6.9e-25,79.8,0.1,1.7e-24,78.6,0.1
NP_414741.1,ABC_tran,PF00005,2.4e-41,134.3,0.0,4.5e-41,133.4,0.0
NP_414777.1,AA_kinase,PF00696,7.9e-50,162.4,2.3,1e-49,162.0,2.3
NP_414787.4,MMR_HSR1,PF01926,3.2e-18,58.7,0.0,4.9e-18,58.0,0.0
NP_414796.2,ABC_tran,PF00005,2.4e-42,137.5,0.0,3.6e-42,136.9,0.0
NP_414838.2,Pyr_redox_2,PF07992,5.8e-64,208.9,0.3,7.6e-64,208.5,0.3
NP_414838.2,Pyr_redox,PF00070,1.1e-26,85.9,0.9,9.5e-24,76.5,0.0
