pfam_accession,pfam_name,num_proteins
PF00013,KH_1,1
PF00022,Actin,1
PF00023,Ank,1
PF00034,Cytochrom_C,1
PF00035,dsrm,1
PF00042,Globin,1
PF00056,Ldh_1_N,1
PF00061,Lipocalin,1
PF00075,RNase_H,1
PF00078,RVT_1,1
PF00080,Sod_Cu,1
PF00091,Tubulin,1
PF00102,Y_phosphatase,1
PF00113,Enolase_C,1
PF00115,COX1,1
PF00116,COX2,1
PF00118,Cpn60_TCP1,1
PF00119,ATP-synt_A,1
PF00121,TIM,1
PF00136,DNA_pol_B,1
PF00137,ATP-synt_C,1
PF00141,peroxidase,1
PF00142,Fer4_NifH,1
PF00145,DNA_methylase,1
PF00154,RecA_N,1
PF00162,PGK,1
PF00163,Ribosomal_S4,1
PF00164,Ribosom_S12_S23,1
PF00166,Cpn10,1
PF00174,Oxidored_molyb,1
PF00176,SNF2-rel_dom,1
PF00177,Ribosomal_S7,1
PF00181,Ribosomal_L2_N,1
PF00183,HSP90,1
PF00186,DHFR_1,1
PF00189,Ribosomal_S3_C,1
PF00199,Catalase,1
PF00203,Ribosomal_S19,1
PF00207,A2M,1
PF00208,ELFV_dehydrog,1
PF00213,OSCP,1
PF00218,IGPS,1
PF00227,Proteasome,1
PF00231,ATP-synt,1
PF00237,Ribosomal_L22,1
PF00238,Ribosomal_L14,1
PF00245,Alk_phosphatase,1
PF00246,Peptidase_M14,1
PF00252,Ribosomal_L16,1
PF00253,Ribosomal_S14,1
PF00255,GSHPx,1
PF00265,TK,1
PF00276,Ribosomal_L23,1
PF00278,Orn_DAP_Arg_deC,1
PF00281,Ribosomal_L5,1
PF00289,Biotin_carb_N,1
PF00290,Trp_syntA,1
PF00297,Ribosomal_L3,1
PF00298,Ribosomal_L11,1
PF00301,Rubredoxin,1
PF00303,Thymidylat_synt,1
PF00306,ATP-synt_ab_C,1
PF00309,Sigma54_AID,1
PF00310,GATase_2,1
PF00311,PEPcase,1
PF00312,Ribosomal_S15,1
PF00316,FBPase,1
PF00318,Ribosomal_S2,1
PF00327,Ribosomal_L30,1
PF00333,Ribosomal_S5,1
PF00334,NDK,1
PF00338,Ribosomal_S10,1
PF00342,PGI,1
PF00344,SecY,1
PF00347,Ribosomal_L6,1
PF00365,PFK,1
PF00366,Ribosomal_S17,1
PF00380,Ribosomal_S9,1
PF00393,6PGD,1
PF00394,Cu-oxidase,1
PF00401,ATP-synt_DE,1
PF00406,ADK,1
PF00410,Ribosomal_S8,1
PF00411,Ribosomal_S11,1
PF00416,Ribosomal_S13,1
PF00430,ATP-synt_B,1
PF00438,S-AdoMet_synt_N,1
PF00445,Ribonuclease_T2,1
PF00453,Ribosomal_L20,1
PF00464,SHMT,1
PF00466,Ribosomal_L10,1
PF00468,Ribosomal_L34,1
PF00471,Ribosomal_L33,1
PF00475,IGPD,1
PF00476,DNA_pol_A,1
PF00479,G6PD_N,1
PF00488,MutS_V,1
PF00490,ALAD,1
PF00491,Arginase,1
PF00499,Oxidored_q3,1
PF00507,Oxidored_q4,1
PF00510,COX3,1
PF00533,BRCT,1
PF00542,Ribosomal_L12,1
PF00560,LRR_1,1
PF00562,RNA_pol_Rpb2_6,1
PF00572,Ribosomal_L13,1
PF00573,Ribosomal_L4,1
PF00576,Transthyretin,1
PF00584,SecE,1
PF00585,Thr_dehydrat_C,1
PF00623,RNA_pol_Rpb1_2,1
PF00625,Guanylate_kin,1
PF00630,Filamin,1
PF00636,Ribonuclease_3,1
PF00657,Lipase_GDSL,1
PF00667,FAD_binding_1,1
PF00668,Condensation,1
PF00673,Ribosomal_L5_C,1
PF00677,Lum_binding,1
PF00687,Ribosomal_L1,1
PF00689,Cation_ATPase_C,1
PF00690,Cation_ATPase_N,1
PF00697,PRAI,1
PF00698,Acyl_transf_1,1
PF00700,Flagellin_C,1
PF00704,Glyco_hydro_18,1
PF00707,IF3_C,1
PF00709,Adenylsucc_synt,1
PF00712,DNA_pol3_beta,1
PF00719,Pyrophosphatase,1
PF00731,AIRC,1
PF00732,GMC_oxred_N,1
PF00743,FMO-like,1
PF00745,GlutR_dimer,1
PF00750,tRNA-synt_1d,1
PF00762,Ferrochelatase,1
PF00763,THF_DHG_CYH,1
PF00764,Arginosuc_synth,1
PF00771,FHIPEP,1
PF00772,DnaB,1
PF00781,DAGK_cat,1
PF00782,DSPc,1
PF00797,Acetyltransf_2,1
PF00800,PDT,1
PF00801,PKD,1
PF00805,Pentapeptide,1
PF00813,FliP,1
PF00815,Histidinol_dh,1
PF00825,Ribonuclease_P,1
PF00828,Ribosomal_L27A,1
PF00829,Ribosomal_L21p,1
PF00830,Ribosomal_L28,1
PF00831,Ribosomal_L29,1
PF00861,Ribosomal_L18p,1
PF00866,Ring_hydroxyl_B,1
PF00875,DNA_photolyase,1
PF00885,DMRL_synthase,1
PF00886,Ribosomal_S16,1
PF00889,EF_TS,1
PF00891,Methyltransf_2,1
PF00902,TatC,1
PF00908,dTDP_sugar_isom,1
PF00909,Ammonium_transp,1
PF00916,Sulfate_transp,1
PF00925,GTP_cyclohydro2,1
PF00926,DHBP_synthase,1
PF00930,DPPIV_N,1
PF00958,GMP_synt_C,1
PF00962,A_deaminase,1
PF00982,Glyco_transf_20,1
PF00988,CPSase_sm_chain,1
PF01000,RNA_pol_A_bac,1
PF01016,Ribosomal_L27,1
PF01018,GTP1_OBG,1
PF01019,G_glu_transpept,1
PF01025,GrpE,1
PF01043,SecA_PP_bind,1
PF01050,MannoseP_isomer,1
PF01071,GARS_A,1
PF01074,Glyco_hydro_38N,1
PF01084,Ribosomal_S18,1
PF01087,GalP_UDP_transf,1
PF01095,Pectinesterase,1
PF01106,NifU,1
PF01112,Asparaginase_2,1
PF01113,DapB_N,1
PF01119,DNA_mis_repair,1
PF01121,CoaE,1
PF01124,MAPEG,1
PF01137,RTC,1
PF01139,RtcB,1
PF01142,TruD,1
PF01165,Ribosomal_S21,1
PF01174,SNO,1
PF01176,eIF-1a,1
PF01179,Cu_amine_oxid,1
PF01183,Glyco_hydro_25,1
PF01184,Gpr1_Fun34_YaaH,1
PF01192,RNA_pol_Rpb6,1
PF01193,RNA_pol_L,1
PF01195,Pept_tRNA_hydro,1
PF01196,Ribosomal_L17,1
PF01205,Impact_N,1
PF01208,URO-D,1
PF01218,Coprogen_oxidas,1
PF01219,DAGK_prokar,1
PF01227,GTP_cyclohydroI,1
PF01235,Na_Ala_symp,1
PF01238,PMI_typeI_C,1
PF01242,PTPS,1
PF01243,PNPOx_N,1
PF01245,Ribosomal_L19,1
PF01250,Ribosomal_S6,1
PF01252,Peptidase_A8,1
PF01253,SUI1,1
PF01255,Prenyltransf,1
PF01256,Carb_kinase,1
PF01257,2Fe-2S_thioredx,1
PF01259,SAICAR_synt,1
PF01264,Chorismate_synt,1
PF01270,Glyco_hydro_8,1
PF01278,Omptin,1
PF01281,Ribosomal_L9_N,1
PF01288,HPPK,1
PF01293,PEPCK_ATP,1
PF01295,Adenylate_cycl,1
PF01297,ZnuA,1
PF01311,Bac_export_1,1
PF01312,Bac_export_2,1
PF01313,Bac_export_3,1
PF01314,AFOR_C,1
PF01316,Arg_repressor,1
PF01321,Creatinase_N,1
PF01325,Fe_dep_repress,1
PF01326,PPDK_N,1
PF01327,Pep_deformylase,1
PF01330,RuvA_N,1
PF01337,Barstar,1
PF01339,CheB_methylest,1
PF01340,MetJ,1
PF01344,Kelch_1,1
PF01351,RNase_HII,1
PF01361,Tautomerase,1
PF01368,DHH,1
PF01371,Trp_repressor,1
PF01379,Porphobil_deam,1
PF01385,OrfB_IS605,1
PF01386,Ribosomal_L25p,1
PF01389,OmpA_membrane,1
PF01411,tRNA-synt_2c,1
PF01416,PseudoU_synth_1,1
PF01420,Methylase_S,1
PF01427,Peptidase_M15,1
PF01430,HSP33,1
PF01433,Peptidase_M1,1
PF01434,Peptidase_M41,1
PF01450,KARI_C,1
PF01472,PUA,1
PF01487,DHquinase_I,1
PF01490,Aa_trans,1
PF01491,Frataxin_Cyay,1
PF01493,GXGXG,1
PF01502,PRA-CH,1
PF01509,TruB_N,1
PF01514,YscJ_FliF,1
PF01555,N6_N4_Mtase,1
PF01558,POR,1
PF01564,Spermine_synth,1
PF01566,Nramp,1
PF01571,GCV_T,1
PF01575,MaoC_dehydratas,1
PF01580,FtsK_SpoIIIE,1
PF01592,NifU_N,1
PF01596,Methyltransf_3,1
PF01619,Pro_dh,1
PF01624,MutS_I,1
PF01625,PMSR,1
PF01632,Ribosomal_L35p,1
PF01634,HisG,1
PF01638,HxlR,1
PF01641,SelR,1
PF01642,MM_CoA_mutase,1
PF01645,Glu_synthase,1
PF01649,Ribosomal_S20p,1
PF01661,Macro,1
PF01668,SmpB,1
PF01678,DAP_epimerase,1
PF01679,Pmp3,1
PF01687,Flavokinase,1
PF01694,Rhomboid,1
PF01702,TGT,1
PF01706,FliG_C,1
PF01715,IPPT,1
PF01717,Meth_synt_2,1
PF01725,Ham1p_like,1
PF01726,LexA_DNA_bind,1
PF01731,Arylesterase,1
PF01739,CheR,1
PF01741,MscL,1
PF01745,IPT,1
PF01746,tRNA_m1G_MT,1
PF01758,SBF,1
PF01761,DHQ_synthase,1
PF01765,RRF,1
PF01782,RimM,1
PF01783,Ribosomal_L32p,1
PF01784,DUF34_NIF3,1
PF01790,LGT,1
PF01794,Ferric_reduct,1
PF01795,Methyltransf_5,1
PF01807,Zn_ribbon_DnaG,1
PF01808,AICARFT_IMPCHas,1
PF01809,YidD,1
PF01812,5-FTHF_cyc-lig,1
PF01814,Hemerythrin,1
PF01835,MG2,1
PF01855,POR_N,1
PF01863,YgjP-like,1
PF01867,Cas_Cas1,1
PF01869,BcrAD_BadFG,1
PF01872,RibD_C,1
PF01874,CitG,1
PF01883,FeS_assembly_P,1
PF01885,PTS_2-RNA,1
PF01894,YjbQ,1
PF01903,CbiX,1
PF01904,DUF72,1
PF01906,YbjQ_1,1
PF01909,NTP_transf_2,1
PF01915,Glyco_hydro_3_C,1
PF01923,Cob_adeno_trans,1
PF01924,HypD,1
PF01925,TauE,1
PF01928,CYTH,1
PF01931,NTPase_I-T,1
PF01933,CofD,1
PF01935,DUF87,1
PF01948,PyrI,1
PF01957,NfeD,1
PF01963,TraB_PrgY_gumN,1
PF01964,ThiC_Rad_SAM,1
PF01967,MoaC,1
PF01975,SurE,1
PF01977,UbiD,1
PF01978,TrmB,1
PF01980,TrmO_N,1
PF01985,CRS1_YhbY,1
PF02016,Peptidase_S66,1
PF02021,UPF0102,1
PF02030,Lipoprotein_8,1
PF02033,RBFA,1
PF02040,ArsB,1
PF02049,FliE,1
PF02050,FliJ,1
PF02075,RuvC,1
PF02077,SURF4,1
PF02086,MethyltransfD12,1
PF02091,tRNA-synt_2e,1
PF02092,tRNA_synt_2f,1
PF02096,60KD_IMP,1
PF02107,FlgH,1
PF02108,FliH,1
PF02110,HK,1
PF02113,Peptidase_S13,1
PF02119,FlgI,1
PF02120,Flg_hook,1
PF02126,PTE,1
PF02129,Peptidase_S15,1
PF02130,YbeY,1
PF02132,RecR_ZnF,1
PF02153,PDH_N,1
PF02154,FliM,1
PF02163,Peptidase_M50,1
PF02190,LON_substr_bdg,1
PF02219,MTHFR,1
PF02223,Thymidylate_kin,1
PF02224,Cytidylate_kin,1
PF02233,PNTB,1
PF02237,BPL_C,1
PF02253,PLA1,1
PF02255,PTS_IIA,1
PF02261,Asp_decarbox,1
PF02277,DBI_PRT,1
PF02283,CobU,1
PF02300,Fumarate_red_C,1
PF02308,MgtC,1
PF02313,Fumarate_red_D,1
PF02324,Glyco_hydro_70,1
PF02325,CCB3_YggT,1
PF02335,Cytochrom_C552,1
PF02347,GDC-P,1
PF02348,CTP_transf_3,1
PF02350,Epimerase_2,1
PF02358,Trehalose_PPase,1
PF02366,PMT,1
PF02369,Big_1,1
PF02374,ArsA_ATPase,1
PF02381,MraZ,1
PF02384,N6_Mtase,1
PF02391,MoaE,1
PF02397,Bac_transf,1
PF02401,LYTB,1
PF02403,Seryl_tRNA_N,1
PF02405,MlaE,1
PF02410,RsfS,1
PF02415,Chlam_PMP,1
PF02424,ApbE,1
PF02445,NadA,1
PF02446,Glyco_hydro_77,1
PF02465,FliD_N,1
PF02481,DNA_processg_A,1
PF02491,SHS2_FTSA,1
PF02498,Bro-N,1
PF02501,T2SSI,1
PF02502,LacAB_rpiB,1
PF02503,PP_kinase,1
PF02504,FA_synthesis,1
PF02527,GidB,1
PF02535,Zip,1
PF02537,CRCB,1
PF02542,YgbB,1
PF02547,Queuosine_synth,1
PF02548,Pantoate_transf,1
PF02550,AcetylCoA_hydro,1
PF02551,Acyl_CoA_thio,1
PF02556,SecB,1
PF02557,VanY,1
PF02559,CarD_TRCF_RID,1
PF02560,Cyanate_lyase,1
PF02561,FliS,1
PF02565,RecO_C,1
PF02567,PhzC-PhzF,1
PF02569,Pantoate_ligase,1
PF02572,CobA_CobO_BtuR,1
PF02575,YbaB_DNA_bd,1
PF02576,RimP_N,1
PF02578,Cu-oxidase_4,1
PF02580,Tyr_Deacylase,1
PF02581,TMP-TENI,1
PF02585,PIG-L,1
PF02586,SRAP,1
PF02590,SPOUT_MTase,1
PF02592,Vut_1,1
PF02594,DUF167,1
PF02599,CsrA,1
PF02600,DsbB,1
PF02601,Exonuc_VII_L,1
PF02602,HEM4,1
PF02606,LpxK,1
PF02607,B12-binding_2,1
PF02609,Exonuc_VII_S,1
PF02610,AraA_N,1
