protein,num_pfams,pfam_accession,pfam_name
NP_414564.1,1,PF01649,Ribosomal_S20p
NP_414686.3,1,PF00749,tRNA-synt_1c
NP_414711.1,1,PF00318,Ribosomal_S2
NP_414712.1,1,PF00889,EF_TS
NP_414714.1,1,PF01765,RRF
NP_414725.1,1,PF01351,RNase_HII
NP_414941.1,1,PF02699,YajC
NP_415007.1,1,PF00406,ADK
NP_415170.4,1,PF02410,RsfS
NP_415192.1,1,PF02130,YbeY
NP_415206.1,1,PF00749,tRNA-synt_1c
NP_415404.1,1,PF01176,eIF-1a
NP_415469.1,1,PF02367,TsaE
NP_415607.1,1,PF01783,Ribosomal_L32p
NP_415722.1,1,PF01195,Pept_tRNA_hydro
NP_416231.1,1,PF00453,Ribosomal_L20
NP_416232.3,1,PF01632,Ribosomal_L35p
NP_416390.1,1,PF00750,tRNA-synt_1d
NP_416832.1,1,PF01264,Chorismate_synt
NP_416899.1,1,PF00749,tRNA-synt_1c
NP_417004.1,1,PF02601,Exonuc_VII_L
NP_417009.1,1,PF13393,tRNA-synt_His
NP_417013.1,1,PF00334,NDK
NP_417060.1,1,PF02565,RecO_C
NP_417097.1,1,PF01245,Ribosomal_L19
NP_417098.1,1,PF01746,tRNA_m1G_MT
NP_417100.1,1,PF00886,Ribosomal_S16
NP_417104.1,1,PF01025,GrpE
NP_417110.1,1,PF01668,SmpB
NP_417225.1,1,PF01142,TruD
NP_417389.1,1,PF06026,Rib_5-P_isom_A
NP_417401.1,1,PF00162,PGK
NP_417424.1,1,PF03652,RuvX
NP_417429.1,1,PF01725,Ham1p_like
NP_417634.1,1,PF00312,Ribosomal_S15
NP_417636.1,1,PF02033,RBFA
NP_417642.1,1,PF03840,SecG
NP_417652.1,1,PF01016,Ribosomal_L27
NP_417653.1,1,PF00829,Ribosomal_L21p
NP_417697.1,1,PF00380,Ribosomal_S9
NP_417698.1,1,PF00572,Ribosomal_L13
NP_417753.1,1,PF01196,Ribosomal_L17
NP_417754.1,1,PF01193,RNA_pol_L
NP_417756.1,1,PF00411,Ribosomal_S11
NP_417757.1,1,PF00416,Ribosomal_S13
NP_417759.1,1,PF00344,SecY
NP_417760.1,1,PF00828,Ribosomal_L27A
NP_417763.1,1,PF00861,Ribosomal_L18p
NP_417764.1,1,PF00347,Ribosomal_L6
NP_417765.1,1,PF00410,Ribosomal_S8
NP_417767.1,1,PF00281,Ribosomal_L5
NP_417768.1,1,PF17136,ribosomal_L24
NP_417769.1,1,PF00238,Ribosomal_L14
NP_417770.1,1,PF00366,Ribosomal_S17
NP_417771.1,1,PF00831,Ribosomal_L29
NP_417772.1,1,PF00252,Ribosomal_L16
NP_417773.1,1,PF00189,Ribosomal_S3_C
NP_417774.1,1,PF00237,Ribosomal_L22
NP_417775.1,1,PF00203,Ribosomal_S19
NP_417776.1,1,PF00181,Ribosomal_L2_N
NP_417777.1,1,PF00276,Ribosomal_L23
NP_417778.1,1,PF00573,Ribosomal_L4
NP_417779.1,1,PF00297,Ribosomal_L3
NP_417780.1,1,PF00338,Ribosomal_S10
NP_417800.1,1,PF00177,Ribosomal_S7
NP_417801.1,1,PF00164,Ribosom_S12_S23
NP_417879.1,1,PF01139,RtcB
NP_418094.1,1,PF00830,Ribosomal_L28
NP_418106.1,1,PF01192,RNA_pol_Rpb6
NP_418159.1,1,PF00825,Ribonuclease_P
NP_418189.1,1,PF00231,ATP-synt
NP_418191.1,1,PF00213,OSCP
NP_418194.1,1,PF00119,ATP-synt_A
NP_418354.1,1,PF00121,TIM
NP_418408.1,1,PF00584,SecE
NP_418411.1,1,PF00687,Ribosomal_L1
NP_418434.1,1,PF01808,AICARFT_IMPCHas
NP_418589.1,1,PF02367,TsaE
NP_418592.1,1,PF01715,IPPT
NP_418598.1,1,PF00709,Adenylsucc_synt
NP_418621.5,1,PF01250,Ribosomal_S6
NP_418624.1,1,PF03948,Ribosomal_L9_C
NP_418665.1,1,PF01948,PyrI
