protein,pfam_name,pfam_accession,evalue,score
NP_414546.1,DUF2502,PF10697,1.1e-13,51.8
NP_414552.1,DUF3944,PF13099,1.6e-15,57.2
NP_414554.1,DUF2541,PF10807,4.6e-29,101.6
NP_414592.1,DUF525,PF04379,3.1e-35,120.9
NP_414659.1,DUF3300,PF11737,1.7e-78,263.8
NP_414705.1,DUF3461,PF11944,2.6999999999999997e-55,186.4
NP_414709.1,DUF294,PF03445,8.2e-06,26.3
NP_414783.1,DUF905,PF06006,4.9e-43,145.6
NP_414786.4,DUF932,PF06067,9.1e-53,179.9
NP_414793.2,DUF772,PF05598,3.9e-25,88.8
NP_414805.1,DUF1349,PF07081,4.3e-09,36.9
NP_414821.1,DUF1440,PF07274,7.100000000000001e-48,162.7
NP_414835.2,DUF417,PF04224,1.1e-80,269.9
NP_414851.1,DUF1097,PF06496,4.2e-27,95.6
NP_414888.4,DUF2058,PF09831,1.4e-58,198.5
NP_414912.1,DUF1615,PF07759,2.9000000000000002e-158,526.7
NP_414913.1,DUF2755,PF10954,3.1999999999999996e-49,165.7
NP_414914.2,DUF2754,PF10953,4.999999999999999e-44,148.9
NP_414921.2,DUF188,PF02639,6.1e-49,165.6
NP_414946.4,DUF3251,PF11622,4.7e-90,300.3
NP_414989.1,DUF1428,PF07237,2.6000000000000002e-48,163.1
NP_414999.1,DUF2496,PF10689,2.9e-24,85.1
NP_415001.1,DUF454,PF04304,4.5e-42,143.3
NP_415030.1,DUF4329,PF14220,1.3e-36,125.7
NP_415030.1,DUF6531,PF20148,1.2e-18,67.8
NP_415084.2,DUF772,PF05598,3.9e-25,88.8
NP_415090.2,DUF1398,PF07166,1.2999999999999999e-46,158.1
NP_415099.1,DUF4434,PF14488,1.6999999999999998e-69,235.1
NP_415112.1,DUF1158,PF06643,1.4e-40,138.0
NP_415135.1,DUF3440,PF11922,2.4e-32,112.8
NP_415164.1,DUF493,PF04359,3e-28,98.8
NP_415176.1,DUF1451,PF07295,5.9e-50,169.8
NP_415178.1,DUF1266,PF06889,6.9e-48,163.8
NP_415181.1,DUF1266,PF06889,2e-46,159.0
NP_415189.2,DUF772,PF05598,3.9e-25,88.8
NP_415200.1,DUF3700,PF12481,1.1e-09,38.7
NP_415212.1,DUF676,PF05057,0.00028,21.0
NP_415223.1,DUF4118,PF13493,1.1000000000000001e-30,106.2
NP_415228.1,DUF2517,PF10725,3.2e-34,117.1
NP_415229.1,DUF6531,PF20148,7.8e-18,65.2
NP_415235.1,DUF1722,PF08349,6.2e-35,120.5
NP_415238.1,DUF34_NIF3,PF01784,7e-65,219.8
NP_415299.1,DUF1611,PF07755,1.3e-06,28.6
NP_415371.1,DUF1418,PF07214,1.8e-42,143.6
NP_415386.1,DUF3828,PF12883,5.1e-33,114.6
NP_415390.4,DUF2867,PF11066,9.1e-15,55.8
NP_415397.1,DUF2813,PF11398,2e-160,534.8
NP_415398.1,DUF535,PF04393,1e-102,343.9
NP_415426.1,DUF421,PF04239,3.9e-16,59.3
NP_415440.1,DUF218,PF02698,8.3e-31,107.2
NP_415452.1,DUF3458_C,PF17432,6.5e-119,397.7
NP_415452.1,DUF3458,PF11940,3.6e-33,114.4
NP_415484.1,DUF2057,PF09829,2.0000000000000003e-49,168.9
NP_415554.4,DUF1097,PF06496,1.8e-37,129.3
NP_415568.1,DUF1375,PF07119,5.4e-08,33.6
NP_415576.1,DUF2770,PF10968,8.1e-19,67.8
NP_415581.1,DUF1439,PF07273,6e-53,179.3
NP_415585.1,DUF480,PF04337,3.1999999999999998e-62,209.6
NP_415622.1,DUF1425,PF07233,3.3e-26,91.6
NP_415640.2,DUF3592,PF12158,1.1e-06,29.8
NP_415650.1,DUF489,PF04356,7.399999999999999e-75,251.9
NP_415679.1,DUF1398,PF07166,1.4e-47,161.2
NP_415702.1,DUF4113,PF13438,5.9e-22,77.9
NP_415723.1,DUF2583,PF10762,9.4e-47,158.0
NP_415764.4,DUF440,PF04269,3.2e-46,156.3
NP_415773.1,DUF892,PF05974,4.7e-51,173.6
NP_415774.1,DUF892,PF05974,3.2e-51,174.1
NP_415784.1,DUF2207,PF09972,6.400000000000001e-22,79.2
NP_415784.1,DUF2207_C,PF20990,6.5e-10,39.7
NP_415789.1,DUF2498,PF10692,7.8e-44,148.1
NP_415805.1,DUF559,PF04480,1.4999999999999998e-49,167.0
NP_415811.1,DUF2543,PF10820,5.9e-47,158.4
NP_415835.1,DUF481,PF04338,7.1e-08,33.3
NP_415837.1,DUF463,PF04317,1.2000000000000001e-180,601.8
NP_415838.1,DUF697,PF05128,1.4e-55,188.1
NP_415847.2,DUF772,PF05598,3.9e-25,88.8
NP_415848.1,DUF2534,PF10749,5e-41,139.4
NP_415862.4,DUF1233,PF06806,7.3e-15,55.1
NP_415863.1,DUF1187,PF06688,1.3e-38,131.7
NP_415866.1,DUF3799,PF12684,1.4000000000000002e-23,84.5
