protein,pfam_name,pfam_accession,full_seq_evalue,full_seq_score,full_seq_bias,best_domain_evalue,best_domain_score,best_domain_bias
NP_414564.1,Ribosomal_S20p,PF01649,8.7e-33,105.9,16.3,9.7e-33,105.7,16.3
NP_414686.3,tRNA-synt_1c,PF00749,1.1e-50,165.2,0.0,1e-49,162.0,0.0
NP_414711.1,Ribosomal_S2,PF00318,3.2e-99,323.4,0.0,3.6e-99,323.3,0.0
NP_414712.1,EF_TS,PF00889,9.4e-67,217.4,4.4,1.5e-66,216.8,4.4
NP_414714.1,RRF,PF01765,1.2e-70,229.6,1.6,1.5e-70,229.2,1.6
NP_414725.1,RNase_HII,PF01351,2.8e-39,128.0,0.0,3.3e-39,127.8,0.0
NP_414941.1,YajC,PF02699,1.5e-28,91.5,0.7,1.8e-28,91.3,0.7
NP_415007.1,ADK,PF00406,3.4e-63,205.2,0.0,4.1e-63,205.0,0.0
NP_415170.4,RsfS,PF02410,8.7e-36,115.2,0.1,9.9e-36,115.0,0.1
NP_415192.1,YbeY,PF02130,1.1e-43,141.6,0.0,1.2e-43,141.5,0.0
NP_415206.1,tRNA-synt_1c,PF00749,7.4e-132,431.9,0.0,9.5e-132,431.5,0.0
NP_415404.1,eIF-1a,PF01176,3.2e-31,99.8,0.1,3.6e-31,99.6,0.1
NP_415469.1,TsaE,PF02367,1.8e-08,27.4,0.2,0.00028,13.8,0.1
NP_415607.1,Ribosomal_L32p,PF01783,7.1e-23,73.6,0.9,7.6e-23,73.5,0.9
NP_415722.1,Pept_tRNA_hydro,PF01195,9.8e-66,214.0,0.0,1.1e-65,213.8,0.0
NP_416231.1,Ribosomal_L20,PF00453,2.6e-50,162.0,9.4,3e-50,161.8,9.4
NP_416232.3,Ribosomal_L35p,PF01632,1.8e-25,82.2,8.9,2e-25,82.1,8.9
NP_416390.1,tRNA-synt_1d,PF00750,2.6e-183,601.6,0.3,3.3e-183,601.2,0.3
NP_416832.1,Chorismate_synt,PF01264,9.6e-145,474.2,0.0,1.1e-144,474.0,0.0
NP_416899.1,tRNA-synt_1c,PF00749,1.2e-127,418.1,0.0,1.9e-127,417.4,0.0
NP_417004.1,Exonuc_VII_L,PF02601,1.8e-119,391.8,7.8,2.4e-119,391.3,7.8
NP_417009.1,tRNA-synt_His,PF13393,1.5e-42,138.7,0.0,2.1e-42,138.3,0.0
NP_417013.1,NDK,PF00334,1.6e-58,189.4,0.0,1.7e-58,189.2,0.0
NP_417060.1,RecO_C,PF02565,2.3e-25,82.1,0.2,6e-25,80.8,0.2
NP_417097.1,Ribosomal_L19,PF01245,5.6e-53,170.6,3.6,6.2e-53,170.5,3.6
NP_417098.1,tRNA_m1G_MT,PF01746,4.4e-103,336.4,0.0,5.2e-103,336.2,0.0
NP_417100.1,Ribosomal_S16,PF00886,1.2e-28,91.8,0.1,1.4e-28,91.6,0.1
NP_417104.1,GrpE,PF01025,2.3e-50,163.4,2.1,2.6e-50,163.2,1.5
NP_417110.1,SmpB,PF01668,3.8e-60,194.9,0.1,4.4e-60,194.7,0.1
NP_417225.1,TruD,PF01142,1.5e-63,207.9,0.0,8.5e-43,139.6,0.0
NP_417389.1,Rib_5-P_isom_A,PF06026,2.8e-63,205.5,0.3,3.3e-63,205.3,0.3
NP_417401.1,PGK,PF00162,8.2e-144,472.1,0.5,9.3e-144,471.9,0.5
NP_417424.1,RuvX,PF03652,7.4e-49,158.5,0.0,8.2e-49,158.4,0.0
NP_417429.1,Ham1p_like,PF01725,1.5e-68,223.3,0.0,1.7e-68,223.1,0.0
NP_417634.1,Ribosomal_S15,PF00312,9.6e-41,130.9,1.3,1.1e-40,130.7,1.3
NP_417636.1,RBFA,PF02033,1e-38,124.8,0.1,1.2e-38,124.6,0.1
NP_417642.1,SecG,PF03840,8.8e-25,79.7,12.7,1.1e-24,79.4,12.7
NP_417652.1,Ribosomal_L27,PF01016,1.9e-41,133.0,3.3,2.1e-41,132.9,3.3
NP_417653.1,Ribosomal_L21p,PF00829,5.2e-39,125.6,3.1,5.7e-39,125.4,3.1
NP_417697.1,Ribosomal_S9,PF00380,3.6e-53,172.2,2.0,4e-53,172.0,2.0
NP_417698.1,Ribosomal_L13,PF00572,7.3e-50,161.0,0.1,8.5e-50,160.8,0.1
NP_417753.1,Ribosomal_L17,PF01196,5e-42,135.8,0.0,6.1e-42,135.5,0.0
NP_417754.1,RNA_pol_L,PF01193,5.9e-28,89.4,0.0,9.8e-28,88.7,0.0
NP_417756.1,Ribosomal_S11,PF00411,4.6e-57,184.2,0.8,5.6e-57,183.9,0.8
NP_417757.1,Ribosomal_S13,PF00416,9.2e-38,122.5,5.9,4.5e-36,117.1,5.9
NP_417759.1,SecY,PF00344,8.7e-124,405.7,18.9,1.1e-123,405.4,18.9
NP_417760.1,Ribosomal_L27A,PF00828,2.9e-15,49.5,3.1,4.4e-15,48.9,3.1
NP_417763.1,Ribosomal_L18p,PF00861,6.4e-42,135.6,4.2,7.1e-42,135.4,4.2
NP_417764.1,Ribosomal_L6,PF00347,4.3e-45,145.4,0.2,1.4e-24,79.7,0.0
NP_417765.1,Ribosomal_S8,PF00410,1.5e-51,166.6,0.1,1.7e-51,166.4,0.1
NP_417767.1,Ribosomal_L5,PF00281,6e-31,99.6,0.3,1.1e-30,98.7,0.3
NP_417768.1,ribosomal_L24,PF17136,4.6e-28,90.4,0.1,8.2e-28,89.6,0.1
