protein,header,is_hypothetical
NP_414732.1,NP_414732.1 uncharacterized protein YaeQ [Escherichia coli str. K-12 substr. MG1655],True
NP_414811.1,NP_414811.1 uncharacterized protein YagK [Escherichia coli str. K-12 substr. MG1655],True
NP_414829.1,NP_414829.1 uncharacterized protein YkgL [Escherichia coli str. K-12 substr. MG1655],True
NP_414844.1,NP_414844.1 uncharacterized protein YkgH [Escherichia coli str. K-12 substr. MG1655],True
NP_414851.1,NP_414851.1 uncharacterized protein YahC [Escherichia coli str. K-12 substr. MG1655],True
NP_414860.1,NP_414860.1 uncharacterized protein YahL [Escherichia coli str. K-12 substr. MG1655],True
NP_414861.2,NP_414861.2 uncharacterized protein YahM [Escherichia coli str. K-12 substr. MG1655],True
NP_414979.1,NP_414979.1 uncharacterized protein YbaE [Escherichia coli str. K-12 substr. MG1655],True
NP_415091.1,NP_415091.1 uncharacterized protein YbcW [Escherichia coli str. K-12 substr. MG1655],True
NP_415230.1,NP_415230.1 uncharacterized protein YbfB [Escherichia coli str. K-12 substr. MG1655],True
NP_415232.1,NP_415232.1 uncharacterized protein YbfC [Escherichia coli str. K-12 substr. MG1655],True
NP_415364.1,NP_415364.1 uncharacterized protein YbjH [Escherichia coli str. K-12 substr. MG1655],True
NP_415521.1,NP_415521.1 uncharacterized protein YccE [Escherichia coli str. K-12 substr. MG1655],True
NP_415548.1,NP_415548.1 uncharacterized protein YcdU [Escherichia coli str. K-12 substr. MG1655],True
NP_415562.1,NP_415562.1 uncharacterized protein YmdA [Escherichia coli str. K-12 substr. MG1655],True
NP_415656.1,NP_415656.1 uncharacterized protein YmfE [Escherichia coli str. K-12 substr. MG1655],True
NP_415661.2,NP_415661.2 uncharacterized protein YmfI [Escherichia coli str. K-12 substr. MG1655],True
NP_415662.2,NP_415662.2 uncharacterized protein YmfJ [Escherichia coli str. K-12 substr. MG1655],True
NP_415665.2,NP_415665.2 uncharacterized protein YmfL [Escherichia coli str. K-12 substr. MG1655],True
NP_415714.1,NP_415714.1 uncharacterized protein YcgY [Escherichia coli str. K-12 substr. MG1655],True
NP_415873.2,NP_415873.2 uncharacterized protein YdaG [Escherichia coli str. K-12 substr. MG1655],True
NP_415893.2,NP_415893.2 uncharacterized protein YnaE [Escherichia coli str. K-12 substr. MG1655],True
NP_415974.1,NP_415974.1 uncharacterized protein YdcD [Escherichia coli str. K-12 substr. MG1655],True
NP_416090.2,NP_416090.2 uncharacterized protein YdfB [Escherichia coli str. K-12 substr. MG1655],True
NP_416091.1,NP_416091.1 uncharacterized protein YdfC [Escherichia coli str. K-12 substr. MG1655],True
NP_416184.1,NP_416184.1 uncharacterized protein YdhT [Escherichia coli str. K-12 substr. MG1655],True
NP_416187.1,NP_416187.1 uncharacterized protein YdhW [Escherichia coli str. K-12 substr. MG1655],True
NP_416200.2,NP_416200.2 uncharacterized protein YdiH [Escherichia coli str. K-12 substr. MG1655],True
NP_416240.1,NP_416240.1 uncharacterized protein YniB [Escherichia coli str. K-12 substr. MG1655],True
NP_416339.1,NP_416339.1 uncharacterized protein YebO [Escherichia coli str. K-12 substr. MG1655],True
NP_416589.2,NP_416589.2 uncharacterized protein YegR [Escherichia coli str. K-12 substr. MG1655],True
NP_416624.1,NP_416624.1 uncharacterized protein YehM [Escherichia coli str. K-12 substr. MG1655],True
NP_416776.1,NP_416776.1 uncharacterized protein YfbN [Escherichia coli str. K-12 substr. MG1655],True
NP_416777.2,NP_416777.2 uncharacterized protein YfbO [Escherichia coli str. K-12 substr. MG1655],True
NP_416778.2,NP_416778.2 uncharacterized protein YfbP [Escherichia coli str. K-12 substr. MG1655],True
NP_416858.1,NP_416858.1 uncharacterized protein YfdN [Escherichia coli str. K-12 substr. MG1655],True
NP_416860.4,NP_416860.4 uncharacterized protein YfdP [Escherichia coli str. K-12 substr. MG1655],True
NP_416938.1,NP_416938.1 uncharacterized protein YffL [Escherichia coli str. K-12 substr. MG1655],True
NP_416939.1,NP_416939.1 uncharacterized protein YffM [Escherichia coli str. K-12 substr. MG1655],True
NP_416940.2,NP_416940.2 uncharacterized protein YffN [Escherichia coli str. K-12 substr. MG1655],True
NP_416941.1,NP_416941.1 uncharacterized protein YffO [Escherichia coli str. K-12 substr. MG1655],True
NP_416942.1,NP_416942.1 uncharacterized protein YffP [Escherichia coli str. K-12 substr. MG1655],True
NP_416943.2,NP_416943.2 uncharacterized protein YffQ [Escherichia coli str. K-12 substr. MG1655],True
NP_416944.1,NP_416944.1 uncharacterized protein YffR [Escherichia coli str. K-12 substr. MG1655],True
NP_416945.2,NP_416945.2 uncharacterized protein YffS [Escherichia coli str. K-12 substr. MG1655],True
NP_416970.1,NP_416970.1 uncharacterized protein YpfJ [Escherichia coli str. K-12 substr. MG1655],True
NP_417112.1,NP_417112.1 uncharacterized protein YfjH [Escherichia coli str. K-12 substr. MG1655],True
NP_417125.1,NP_417125.1 uncharacterized protein YfjT [Escherichia coli str. K-12 substr. MG1655],True
NP_417129.1,NP_417129.1 uncharacterized protein YfjW [Escherichia coli str. K-12 substr. MG1655],True
NP_417352.2,NP_417352.2 uncharacterized protein YqeC [Escherichia coli str. K-12 substr. MG1655],True
NP_417427.1,NP_417427.1 uncharacterized protein YggT [Escherichia coli str. K-12 substr. MG1655],True
NP_417578.2,NP_417578.2 uncharacterized protein YhaL [Escherichia coli str. K-12 substr. MG1655],True
NP_417591.1,NP_417591.1 uncharacterized protein YhaC [Escherichia coli str. K-12 substr. MG1655],True
NP_417836.1,NP_417836.1 uncharacterized protein YhfT [Escherichia coli str. K-12 substr. MG1655],True
NP_418130.1,NP_418130.1 uncharacterized protein YidF [Escherichia coli str. K-12 substr. MG1655],True
NP_418450.1,NP_418450.1 uncharacterized protein YjbE [Escherichia coli str. K-12 substr. MG1655],True
NP_418471.1,NP_418471.1 uncharacterized protein YjbL [Escherichia coli str. K-12 substr. MG1655],True
NP_418484.4,NP_418484.4 uncharacterized protein YjcB [Escherichia coli str. K-12 substr. MG1655],True
NP_418581.1,NP_418581.1 uncharacterized protein YjeN [Escherichia coli str. K-12 substr. MG1655],True
