pfam_accession,pfam_name,num_proteins
PF00119,ATP-synt_A,1
PF00121,TIM,1
PF00162,PGK,1
PF00164,Ribosom_S12_S23,1
PF00177,Ribosomal_S7,1
PF00181,Ribosomal_L2_N,1
PF00189,Ribosomal_S3_C,1
PF00203,Ribosomal_S19,1
PF00213,OSCP,1
PF00231,ATP-synt,1
PF00237,Ribosomal_L22,1
PF00238,Ribosomal_L14,1
PF00252,Ribosomal_L16,1
PF00276,Ribosomal_L23,1
PF00281,Ribosomal_L5,1
PF00297,Ribosomal_L3,1
PF00312,Ribosomal_S15,1
PF00318,Ribosomal_S2,1
PF00334,NDK,1
PF00338,Ribosomal_S10,1
PF00344,SecY,1
PF00347,Ribosomal_L6,1
PF00366,Ribosomal_S17,1
PF00380,Ribosomal_S9,1
PF00406,ADK,1
PF00410,Ribosomal_S8,1
PF00411,Ribosomal_S11,1
PF00416,Ribosomal_S13,1
PF00453,Ribosomal_L20,1
PF00572,Ribosomal_L13,1
PF00573,Ribosomal_L4,1
PF00584,SecE,1
PF00687,Ribosomal_L1,1
PF00709,Adenylsucc_synt,1
PF00750,tRNA-synt_1d,1
PF00825,Ribonuclease_P,1
PF00828,Ribosomal_L27A,1
PF00829,Ribosomal_L21p,1
PF00830,Ribosomal_L28,1
PF00831,Ribosomal_L29,1
PF00861,Ribosomal_L18p,1
PF00886,Ribosomal_S16,1
PF00889,EF_TS,1
PF01016,Ribosomal_L27,1
PF01025,GrpE,1
PF01139,RtcB,1
PF01142,TruD,1
PF01176,eIF-1a,1
PF01192,RNA_pol_Rpb6,1
PF01193,RNA_pol_L,1
PF01195,Pept_tRNA_hydro,1
PF01196,Ribosomal_L17,1
PF01245,Ribosomal_L19,1
PF01250,Ribosomal_S6,1
PF01264,Chorismate_synt,1
PF01351,RNase_HII,1
PF01632,Ribosomal_L35p,1
PF01649,Ribosomal_S20p,1
PF01668,SmpB,1
PF01715,IPPT,1
PF01725,Ham1p_like,1
PF01746,tRNA_m1G_MT,1
PF01765,RRF,1
PF01783,Ribosomal_L32p,1
PF01808,AICARFT_IMPCHas,1
PF01948,PyrI,1
PF02033,RBFA,1
PF02130,YbeY,1
PF02410,RsfS,1
PF02565,RecO_C,1
PF02601,Exonuc_VII_L,1
PF02699,YajC,1
PF03652,RuvX,1
PF03840,SecG,1
PF03948,Ribosomal_L9_C,1
PF06026,Rib_5-P_isom_A,1
PF13393,tRNA-synt_His,1
PF17136,ribosomal_L24,1
