protein,num_pfams,pfam_accession,pfam_name
NP_414542.1,1,PF08254,Leader_Thr
NP_414546.1,1,PF10697,DUF2502
NP_414547.1,1,PF03883,H2O2_YaaD
NP_414548.1,1,PF01235,Na_Ala_symp
NP_414549.1,1,PF00923,TAL_FSA
NP_414550.1,1,PF00994,MoCF_biosynth
NP_414551.1,1,PF01184,Gpr1_Fun34_YaaH
NP_414554.1,1,PF10807,DUF2541
NP_414557.1,1,PF01609,DDE_Tnp_1
NP_414559.1,1,PF01848,HOK_GEF
NP_414560.1,1,PF06965,Na_H_antiport_1
NP_414562.1,1,PF03400,DDE_Tnp_IS1
NP_414564.1,1,PF01649,Ribosomal_S20p
NP_414568.1,1,PF01252,Peptidase_A8
NP_414569.1,1,PF00254,FKBP_C
NP_414570.1,1,PF02401,LYTB
NP_414571.1,1,PF01156,IU_nuc_hydro
NP_414576.4,1,PF07180,CaiF_GrlA
NP_414580.1,1,PF02515,CoA_transf_3
NP_414582.1,1,PF02028,BCCT
NP_414583.2,1,PF01012,ETF
NP_414590.1,1,PF00186,DHFR_1
NP_414591.1,1,PF00149,Metallophos
NP_414592.1,1,PF04379,DUF525
NP_414593.1,1,PF00398,RrnaAD
NP_414594.1,1,PF04166,PdxA
NP_414600.1,1,PF00849,PseudoU_synth_2
NP_414603.1,1,PF00596,Aldolase_II
NP_414607.1,1,PF09335,VTT_dom
NP_414609.1,1,PF00528,BPD_transp_1
NP_414614.1,1,PF00330,Aconitase
NP_414615.4,1,PF00180,Iso_dh
NP_414617.1,1,PF08054,Leu_leader
NP_414623.1,1,PF02381,MraZ
NP_414624.1,1,PF01795,Methyltransf_5
NP_414625.1,1,PF04999,FtsL
NP_414631.1,1,PF01098,FTSW_RODA_SPOVE
NP_414638.1,1,PF03331,LpxC
NP_414639.2,1,PF06558,SecM
NP_414643.1,1,PF03884,YacG
NP_414644.1,1,PF07072,ZapD
NP_414646.1,1,PF00478,IMPDH
NP_414648.1,1,PF00482,T2SSF
NP_414650.1,1,PF07963,N_methyl
NP_414652.1,1,PF01510,Amidase_2
NP_414653.1,1,PF17113,AmpE
NP_414659.1,1,PF11737,DUF3300
NP_414661.2,1,PF06062,UPF0231
NP_414662.1,1,PF02675,AdoMet_dc
NP_414664.4,1,PF09691,T2SS_PulS_OutS
NP_414667.4,1,PF00156,Pribosyltran
NP_414668.1,1,PF00484,Pro_CA
NP_414670.1,1,PF01061,ABC2_membrane
NP_414671.1,1,PF03610,EIIA-man
NP_414672.1,1,PF01522,Polysacc_deac_1
NP_414673.1,1,PF02261,Asp_decarbox
NP_414674.1,1,PF04754,Transposase_31
NP_414675.1,1,PF02569,Pantoate_ligase
NP_414676.1,1,PF02548,Pantoate_transf
NP_414677.1,1,PF00419,Fimbrial
NP_414678.1,1,PF00419,Fimbrial
NP_414679.1,1,PF00419,Fimbrial
NP_414680.4,1,PF00419,Fimbrial
NP_414683.1,1,PF00419,Fimbrial
NP_414684.1,1,PF01288,HPPK
NP_414686.3,1,PF00749,tRNA-synt_1c
NP_414694.1,1,PF01497,Peripla_BP_2
NP_414695.1,1,PF01032,FecCD
NP_414696.1,1,PF00202,Aminotran_3
