protein,num_DUFs
NP_416306.2,3
NP_415030.1,2
NP_415452.1,2
NP_415784.1,2
NP_416769.1,2
NP_417158.4,2
NP_417569.1,2
YP_026224.1,2
NP_414546.1,1
NP_414552.1,1
NP_414554.1,1
NP_414592.1,1
NP_414659.1,1
NP_414705.1,1
NP_414709.1,1
NP_414783.1,1
NP_414786.4,1
NP_414793.2,1
NP_414805.1,1
NP_414821.1,1
NP_414835.2,1
NP_414851.1,1
NP_414888.4,1
NP_414912.1,1
NP_414913.1,1
NP_414914.2,1
NP_414921.2,1
NP_414946.4,1
NP_414989.1,1
NP_414999.1,1
NP_415001.1,1
NP_415084.2,1
NP_415090.2,1
NP_415099.1,1
NP_415112.1,1
NP_415135.1,1
NP_415164.1,1
NP_415176.1,1
NP_415178.1,1
NP_415181.1,1
NP_415189.2,1
NP_415200.1,1
NP_415212.1,1
NP_415223.1,1
NP_415228.1,1
NP_415229.1,1
NP_415235.1,1
NP_415238.1,1
NP_415299.1,1
NP_415371.1,1
NP_415386.1,1
NP_415390.4,1
NP_415397.1,1
NP_415398.1,1
NP_415426.1,1
NP_415440.1,1
NP_415484.1,1
NP_415554.4,1
NP_415568.1,1
NP_415576.1,1
NP_415581.1,1
NP_415585.1,1
NP_415622.1,1
NP_415640.2,1
NP_415650.1,1
NP_415679.1,1
NP_415702.1,1
NP_415723.1,1
NP_415764.4,1
NP_415773.1,1
NP_415774.1,1
NP_415789.1,1
NP_415805.1,1
NP_415811.1,1
NP_415835.1,1
NP_415837.1,1
NP_415838.1,1
NP_415847.2,1
NP_415848.1,1
NP_415862.4,1
NP_415863.1,1
NP_415866.1,1
NP_415872.2,1
NP_415877.1,1
NP_415888.1,1
NP_415901.2,1
NP_415925.2,1
NP_415931.4,1
NP_415932.1,1
NP_415943.4,1
NP_415948.1,1
NP_415952.2,1
NP_415953.1,1
NP_415963.1,1
NP_415969.1,1
NP_415972.1,1
NP_416014.4,1
NP_416040.1,1
NP_416067.2,1
NP_416071.1,1
NP_416073.1,1
NP_416078.4,1
NP_416089.1,1
NP_416093.1,1
NP_416100.1,1
NP_416103.2,1
NP_416131.1,1
NP_416143.2,1
NP_416160.1,1
NP_416165.2,1
NP_416190.1,1
NP_416236.1,1
NP_416257.1,1
NP_416274.1,1
NP_416276.4,1
NP_416291.4,1
NP_416298.1,1
NP_416303.1,1
NP_416307.1,1
NP_416310.1,1
NP_416324.2,1
NP_416334.1,1
NP_416338.1,1
NP_416344.1,1
NP_416350.4,1
NP_416351.2,1
NP_416353.1,1
NP_416360.1,1
NP_416382.1,1
NP_416416.2,1
NP_416419.1,1
NP_416425.1,1
NP_416463.4,1
NP_416466.1,1
NP_416467.1,1
NP_416498.2,1
NP_416507.1,1
NP_416511.4,1
NP_416535.2,1
NP_416575.1,1
NP_416584.4,1
NP_416615.1,1
NP_416621.1,1
NP_416624.1,1
NP_416627.2,1
NP_416628.1,1
NP_416649.1,1
NP_416650.1,1
NP_416657.1,1
NP_416692.1,1
NP_416693.1,1
NP_416696.2,1
NP_416729.1,1
NP_416730.1,1
NP_416732.4,1
NP_416733.4,1
NP_416775.1,1
NP_416798.1,1
NP_416807.1,1
NP_416823.1,1
NP_416835.2,1
NP_416845.2,1
NP_416861.1,1
NP_416863.1,1
NP_416878.1,1
NP_416891.1,1
NP_416914.1,1
NP_416927.1,1
NP_416928.4,1
NP_416961.1,1
NP_416999.1,1
NP_417001.1,1
NP_417018.4,1
NP_417044.4,1
NP_417081.2,1
NP_417093.2,1
NP_417094.1,1
NP_417114.1,1
NP_417122.1,1
NP_417157.1,1
NP_417229.1,1
NP_417272.1,1
NP_417275.1,1
NP_417287.1,1
NP_417289.2,1
NP_417301.4,1
NP_417310.1,1
NP_417423.4,1
NP_417428.2,1
NP_417431.1,1
NP_417433.1,1
NP_417441.1,1
NP_417456.2,1
NP_417472.1,1
NP_417499.1,1
NP_417505.1,1
NP_417509.3,1
NP_417548.1,1
NP_417557.1,1
NP_417568.2,1
NP_417574.1,1
NP_417575.1,1
NP_417639.6,1
NP_417681.1,1
NP_417685.2,1
NP_417686.1,1
NP_417687.1,1
NP_417688.1,1
NP_417701.1,1
NP_417709.2,1
NP_417723.1,1
NP_417729.1,1
NP_417739.1,1
NP_417743.1,1
NP_417828.1,1
NP_417837.2,1
NP_417861.1,1
NP_417905.1,1
NP_417913.1,1
NP_417923.1,1
NP_417924.1,1
NP_417945.1,1
NP_417948.4,1
NP_417962.2,1
NP_417968.1,1
NP_418010.2,1
NP_418014.1,1
NP_418033.1,1
NP_418044.1,1
NP_418050.1,1
NP_418055.1,1
NP_418059.1,1
NP_418119.2,1
NP_418131.1,1
NP_418132.1,1
NP_418143.2,1
NP_418144.3,1
NP_418213.1,1
NP_418255.1,1
NP_418261.1,1
NP_418290.4,1
NP_418295.1,1
NP_418298.4,1
NP_418332.1,1
NP_418355.1,1
NP_418356.1,1
NP_418357.1,1
NP_418379.1,1
NP_418399.1,1
NP_418427.1,1
NP_418429.1,1
NP_418447.1,1
NP_418472.1,1
NP_418492.1,1
NP_418545.1,1
NP_418568.2,1
NP_418582.1,1
NP_418587.1,1
NP_418597.1,1
NP_418602.1,1
NP_418604.1,1
NP_418605.1,1
NP_418606.1,1
NP_418625.1,1
NP_418638.2,1
NP_418673.4,1
NP_418684.1,1
NP_418712.1,1
NP_418745.3,1
NP_418756.1,1
NP_418779.2,1
NP_418780.2,1
NP_418794.1,1
NP_418805.1,1
NP_418806.1,1
YP_001165309.1,1
YP_009518743.1,1
YP_009518770.2,1
YP_009518776.1,1
YP_009518797.1,1
