protein,num_pfams,pfam_accession,pfam_name
NP_414543.1,1,PF00696,AA_kinase
NP_414544.1,1,PF00288,GHMP_kinases_N
NP_414545.1,1,PF00291,PALP
NP_414555.1,1,PF00012,HSP70
NP_414568.1,1,PF01252,Peptidase_A8
NP_414569.1,1,PF00254,FKBP_C
NP_414577.2,1,PF00132,Hexapep
NP_414587.1,1,PF07690,MFS_1
NP_414591.1,1,PF00149,Metallophos
NP_414593.1,1,PF00398,RrnaAD
NP_414597.1,1,PF00226,DnaJ
NP_414600.1,1,PF00849,PseudoU_synth_2
NP_414607.1,1,PF09335,VTT_dom
NP_414608.1,1,PF00005,ABC_tran
NP_414609.1,1,PF00528,BPD_transp_1
NP_414611.1,1,PF00496,SBP_bac_5
NP_414616.1,1,PF00682,HMGL-like
NP_414624.1,1,PF01795,Methyltransf_5
NP_414629.1,1,PF00953,Glycos_transf_4
NP_414631.1,1,PF01098,FTSW_RODA_SPOVE
NP_414641.1,1,PF00293,NUDIX
NP_414646.1,1,PF00478,IMPDH
NP_414649.1,1,PF00437,T2SSE
NP_414656.1,1,PF00456,Transketolase_N
NP_414657.1,1,PF00364,Biotin_lipoyl
NP_414667.4,1,PF00156,Pribosyltran
NP_414669.1,1,PF00005,ABC_tran
NP_414686.3,1,PF00749,tRNA-synt_1c
NP_414693.1,1,PF00005,ABC_tran
NP_414701.1,1,PF01048,PNP_UDP_1
NP_414702.1,1,PF01966,HD
NP_414706.2,1,PF00149,Metallophos
NP_414708.1,1,PF00132,Hexapep
NP_414709.1,1,PF01966,HD
NP_414710.1,1,PF00557,Peptidase_M24
NP_414711.1,1,PF00318,Ribosomal_S2
NP_414712.1,1,PF00889,EF_TS
NP_414713.1,1,PF00696,AA_kinase
NP_414714.1,1,PF01765,RRF
NP_414716.1,1,PF01255,Prenyltransf
NP_414717.2,1,PF01148,CTP_transf_1
NP_414721.1,1,PF00132,Hexapep
NP_414723.1,1,PF00132,Hexapep
NP_414725.1,1,PF01351,RNase_HII
NP_414727.1,1,PF01039,Carboxyl_trans
NP_414730.1,1,PF01171,ATP_bind_3
NP_414733.1,1,PF00472,RF-1
NP_414740.1,1,PF00528,BPD_transp_1
NP_414741.1,1,PF00005,ABC_tran
NP_414745.1,1,PF03372,Exo_endo_phos
NP_414746.1,1,PF13649,Methyltransf_25
NP_414747.1,1,PF01476,LysM
NP_414748.1,1,PF00753,Lactamase_B
NP_414751.1,1,PF00929,RNase_T
NP_414757.1,1,PF01380,SIS
NP_414766.1,1,PF00817,IMS
NP_414769.1,1,PF00583,Acetyltransf_1
NP_414772.1,1,PF01546,Peptidase_M20
NP_414773.1,1,PF00156,Pribosyltran
NP_414777.1,1,PF00696,AA_kinase
NP_414778.1,1,PF00171,Aldedh
NP_414787.4,1,PF01926,MMR_HSR1
NP_414796.2,1,PF00005,ABC_tran
