pfam_accession,pfam_name,num_proteins
PF00137,ATP-synt_C,1
PF00164,Ribosom_S12_S23,1
PF00177,Ribosomal_S7,1
PF00181,Ribosomal_L2_N,1
PF00189,Ribosomal_S3_C,1
PF00203,Ribosomal_S19,1
PF00237,Ribosomal_L22,1
PF00238,Ribosomal_L14,1
PF00252,Ribosomal_L16,1
PF00253,Ribosomal_S14,1
PF00276,Ribosomal_L23,1
PF00281,Ribosomal_L5,1
PF00297,Ribosomal_L3,1
PF00298,Ribosomal_L11,1
PF00306,ATP-synt_ab_C,1
PF00312,Ribosomal_S15,1
PF00318,Ribosomal_S2,1
PF00333,Ribosomal_S5,1
PF00338,Ribosomal_S10,1
PF00344,SecY,1
PF00347,Ribosomal_L6,1
PF00366,Ribosomal_S17,1
PF00380,Ribosomal_S9,1
PF00410,Ribosomal_S8,1
PF00411,Ribosomal_S11,1
PF00416,Ribosomal_S13,1
PF00466,Ribosomal_L10,1
PF00562,RNA_pol_Rpb2_6,1
PF00572,Ribosomal_L13,1
PF00573,Ribosomal_L4,1
PF00623,RNA_pol_Rpb1_2,1
PF00673,Ribosomal_L5_C,1
PF00687,Ribosomal_L1,1
PF00750,tRNA-synt_1d,1
PF00828,Ribosomal_L27A,1
PF00831,Ribosomal_L29,1
PF00861,Ribosomal_L18p,1
PF01000,RNA_pol_A_bac,1
PF01176,eIF-1a,1
PF01193,RNA_pol_L,1
PF01411,tRNA-synt_2c,1
PF02978,SRP_SPB,1
PF03484,B5,1
PF03719,Ribosomal_S5_C,1
PF03764,EFG_IV,1
PF03946,Ribosomal_L11_N,1
PF03947,Ribosomal_L2_C,1
PF04560,RNA_pol_Rpb2_7,1
PF04563,RNA_pol_Rpb2_1,1
PF04565,RNA_pol_Rpb2_3,1
PF04983,RNA_pol_Rpb1_3,1
PF04997,RNA_pol_Rpb1_1,1
PF04998,RNA_pol_Rpb1_5,1
PF13393,tRNA-synt_His,1
