protein,num_pfams,pfam_accession,pfam_name
NP_414556.1,2,PF00226,DnaJ
NP_414556.1,2,PF01556,DnaJ_C
NP_414561.1,2,PF00126,HTH_1
NP_414561.1,2,PF03466,LysR_substrate
NP_414566.1,3,PF01467,CTP_transf_like
NP_414566.1,3,PF01687,Flavokinase
NP_414566.1,3,PF06574,FAD_syn
NP_414567.1,5,PF00133,tRNA-synt_1
NP_414567.1,5,PF01406,tRNA-synt_1e
NP_414567.1,5,PF08264,Anticodon_1
NP_414567.1,5,PF09334,tRNA-synt_1g
NP_414567.1,5,PF13603,tRNA-synt_1_2
NP_414572.1,2,PF01113,DapB_N
NP_414572.1,2,PF05173,DapB_C
NP_414573.1,2,PF00117,GATase
NP_414573.1,2,PF00988,CPSase_sm_chain
NP_414574.1,4,PF02142,MGS
NP_414574.1,4,PF02786,CPSase_L_D2
NP_414574.1,4,PF02787,CPSase_L_D3
NP_414574.1,4,PF07478,Dala_Dala_lig_C
NP_414579.4,2,PF00501,AMP-binding
NP_414579.4,2,PF13193,AMP-binding_C
NP_414585.1,2,PF01266,DAO
NP_414585.1,2,PF07992,Pyr_redox_2
NP_414589.1,2,PF00999,Na_H_Exchanger
NP_414589.1,2,PF02254,TrkA_N
NP_414601.1,3,PF00270,DEAD
NP_414601.1,3,PF00271,Helicase_C
NP_414601.1,3,PF04851,ResIII
NP_414618.4,2,PF00126,HTH_1
NP_414618.4,2,PF03466,LysR_substrate
NP_414626.1,2,PF00905,Transpeptidase
NP_414626.1,2,PF03717,PBP_dimer
NP_414627.1,3,PF01225,Mur_ligase
NP_414627.1,3,PF02875,Mur_ligase_C
NP_414627.1,3,PF08245,Mur_ligase_M
NP_414628.1,3,PF01225,Mur_ligase
NP_414628.1,3,PF02875,Mur_ligase_C
NP_414628.1,3,PF08245,Mur_ligase_M
NP_414630.1,2,PF02875,Mur_ligase_C
NP_414630.1,2,PF08245,Mur_ligase_M
NP_414632.1,3,PF03033,Glyco_transf_28
NP_414632.1,3,PF04101,Glyco_tran_28_C
NP_414632.1,3,PF13439,Glyco_transf_4
NP_414633.1,3,PF01225,Mur_ligase
NP_414633.1,3,PF02875,Mur_ligase_C
NP_414633.1,3,PF08245,Mur_ligase_M
NP_414634.1,3,PF01820,Dala_Dala_lig_N
NP_414634.1,3,PF02786,CPSase_L_D2
NP_414634.1,3,PF07478,Dala_Dala_lig_C
NP_414637.1,2,PF00091,Tubulin
NP_414637.1,2,PF12327,FtsZ_C
NP_414640.1,3,PF00270,DEAD
NP_414640.1,3,PF07516,SecA_SW
NP_414640.1,3,PF07517,SecA_DEAD
NP_414645.1,2,PF01121,CoaE
NP_414645.1,2,PF01202,SKI
NP_414658.1,2,PF02852,Pyr_redox_dim
NP_414658.1,2,PF07992,Pyr_redox_2
NP_414685.4,2,PF01743,PolyA_pol
