protein,pfam_name,pfam_accession,evalue,score
NP_414542.1,Leader_Thr,PF08254,1e-10,41.7
NP_414543.1,Homoserine_dh,PF00742,5.4e-50,170.2
NP_414543.1,AA_kinase,PF00696,6.3e-46,157.6
NP_414543.1,ACT_9,PF22468,4.5e-43,145.4
NP_414543.1,NAD_binding_3,PF03447,5.2e-31,108.4
NP_414543.1,ACT_7,PF13840,6.7e-20,71.3
NP_414543.1,ACT,PF01842,9.8e-14,51.4
NP_414544.1,GHMP_kinases_N,PF00288,2.3e-21,76.4
NP_414544.1,GHMP_kinases_C,PF08544,1.5e-11,45.1
NP_414545.1,PALP,PF00291,2.3e-23,83.6
NP_414545.1,Thr_synth_N,PF14821,1.2e-14,54.7
NP_414545.1,THR4_C,PF24857,5.7e-10,39.8
NP_414546.1,DUF2502,PF10697,1.1e-13,51.8
NP_414547.1,H2O2_YaaD,PF03883,9.5e-96,320.5
NP_414548.1,Na_Ala_symp,PF01235,2.7e-149,498.3
NP_414549.1,TAL_FSA,PF00923,1.5e-98,330.3
NP_414550.1,MoCF_biosynth,PF00994,5.3e-25,88.4
NP_414551.1,Gpr1_Fun34_YaaH,PF01184,1.2e-40,140.0
NP_414552.1,Ubiq_cyt_C_chap,PF03981,8.9e-16,58.8
NP_414552.1,DUF3944,PF13099,1.6e-15,57.2
NP_414554.1,DUF2541,PF10807,4.6e-29,101.6
NP_414555.1,HSP70,PF00012,1.6e-273,909.0
NP_414555.1,MreB_Mbl,PF06723,2.1e-14,53.7
NP_414556.1,DnaJ_C,PF01556,2.9e-54,183.8
NP_414556.1,DnaJ,PF00226,3e-29,101.5
NP_414556.1,DnaJ_CXXCXGXG,PF00684,2.8e-18,66.5
NP_414556.1,DnaJ_C_2,PF27439,2.8e-09,37.4
NP_414557.1,DDE_Tnp_1,PF01609,1.8e-26,93.7
NP_414559.1,HOK_GEF,PF01848,5.1e-24,84.2
NP_414560.1,Na_H_antiport_1,PF06965,5.7e-151,503.2
NP_414561.1,HTH_1,PF00126,3.5e-17,62.7
NP_414561.1,LysR_substrate,PF03466,4.1e-10,40.0
NP_414562.1,DDE_Tnp_IS1,PF03400,6.6e-78,260.0
NP_414563.1,HTH_Tnp_IS1,PF12759,5.2e-31,106.6
NP_414563.1,Zn_ribbon_InsA,PF03811,1.4e-21,76.4
NP_414564.1,Ribosomal_S20p,PF01649,2e-30,105.9
NP_414566.1,FAD_syn,PF06574,1.3e-57,194.6
NP_414566.1,Flavokinase,PF01687,9.1e-42,142.8
NP_414566.1,CTP_transf_like,PF01467,0.00015,22.5
NP_414567.1,tRNA-synt_1,PF00133,7.6e-162,539.4
NP_414567.1,Anticodon_1,PF08264,3.1e-29,102.4
