protein,pfam_name,pfam_accession,full_seq_evalue,full_seq_score,full_seq_bias,best_domain_evalue,best_domain_score,best_domain_bias
NP_414543.1,AA_kinase,PF00696,1.1e-47,157.6,1.2,1.9e-47,156.8,0.1
NP_414544.1,GHMP_kinases_N,PF00288,4.1e-23,76.4,0.2,8.3e-23,75.4,0.0
NP_414545.1,PALP,PF00291,4.2e-25,83.6,0.0,5.9e-25,83.1,0.0
NP_414555.1,HSP70,PF00012,3e-275,909.0,16.3,3.5e-275,908.7,16.3
NP_414556.1,DnaJ_C,PF01556,5.3e-56,183.8,0.1,6.9e-56,183.5,0.1
NP_414556.1,DnaJ,PF00226,5.4e-31,101.5,4.4,8.5e-31,100.9,4.4
NP_414561.1,HTH_1,PF00126,6.3e-19,62.7,0.0,1.2e-18,61.8,0.0
NP_414561.1,LysR_substrate,PF03466,7.5e-12,40.0,0.0,1e-11,39.5,0.0
NP_414566.1,FAD_syn,PF06574,2.4e-59,194.6,0.0,3.4e-59,194.1,0.0
NP_414566.1,Flavokinase,PF01687,1.7e-43,142.8,0.0,2.6e-43,142.1,0.0
NP_414566.1,CTP_transf_like,PF01467,2.8e-06,22.5,0.0,5.1e-06,21.7,0.0
NP_414567.1,tRNA-synt_1,PF00133,1.4e-163,539.4,0.0,1.7e-163,539.1,0.0
NP_414567.1,Anticodon_1,PF08264,5.6e-31,102.4,0.0,1e-30,101.5,0.0
NP_414567.1,tRNA-synt_1g,PF09334,4.4e-21,70.0,0.1,5.2e-12,40.1,0.0
NP_414567.1,tRNA-synt_1e,PF01406,1.8e-10,35.6,0.0,3.9e-08,27.9,0.0
NP_414567.1,tRNA-synt_1_2,PF13603,5.9e-08,27.3,0.0,1.1e-07,26.5,0.0
NP_414568.1,Peptidase_A8,PF01252,2e-43,143.0,9.7,2.2e-43,142.8,9.7
NP_414569.1,FKBP_C,PF00254,8.6e-16,53.1,0.0,1.8e-15,52.0,0.0
NP_414572.1,DapB_C,PF05173,9.5e-47,153.0,0.2,1.3e-46,152.5,0.2
NP_414572.1,DapB_N,PF01113,3.9e-45,147.9,0.7,1.6e-44,145.9,0.1
NP_414573.1,GATase,PF00117,5.7e-60,197.2,0.0,1.1e-59,196.2,0.0
NP_414573.1,CPSase_sm_chain,PF00988,4e-55,180.0,0.1,6.3e-55,179.3,0.1
NP_414574.1,CPSase_L_D2,PF02786,1.8e-119,391.7,2.5,3.8e-79,260.0,0.0
NP_414574.1,CPSase_L_D3,PF02787,3.2e-28,92.6,0.2,1.4e-27,90.6,0.1
NP_414574.1,MGS,PF02142,1.7e-23,77.6,0.6,9.4e-23,75.2,0.0
NP_414574.1,Dala_Dala_lig_C,PF07478,4.2e-13,44.2,0.5,2e-07,25.7,0.2
NP_414577.2,Hexapep,PF00132,9.4e-17,55.0,16.3,1.6e-09,32.2,0.2
NP_414579.4,AMP-binding,PF00501,1.7e-77,255.7,0.0,2.1e-77,255.4,0.0
NP_414579.4,AMP-binding_C,PF13193,4.2e-18,61.1,0.0,8.3e-18,60.1,0.0
NP_414585.1,DAO,PF01266,1.3e-19,65.8,6.8,3e-10,35.0,0.9
NP_414585.1,Pyr_redox_2,PF07992,1.8e-10,35.6,5.9,5.6e-06,20.9,1.3
